TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
89451,TUCUNDUVA,RS,CENTRO,0.432,2782,0.311,0.626,0.034,0.024,0.064,0.375
89451,TUCUNDUVA,RS,ESQUINA CAVALHEIRO,0.432,64,0.391,0.5,0.062,0.047,0.109,0.5
89451,TUCUNDUVA,RS,SÃO JOSÉ OPERÁRIO,0.408,257,0.591,0.377,0.023,0.008,0.031,0.622
89451,TUCUNDUVA,RS,SÃO BRAZ,0.306,62,0.129,0.677,0.097,0.048,0.193,0.322
89451,TUCUNDUVA,RS,CAMPININHA,0.214,60,0.15,0.767,0.067,0.0,0.084,0.234
89451,TUCUNDUVA,RS,LAJEADO GUERRILHA,0.207,101,0.356,0.594,0.04,0.01,0.05,0.406
89451,TUCUNDUVA,RS,ESQUINA TUCUNDUVA,0.132,233,0.283,0.682,0.021,0.004,0.034,0.317
89451,TUCUNDUVA,RS,LAJEADO BATISTA,0.098,193,0.207,0.756,0.016,0.021,0.037,0.244
89451,TUCUNDUVA,RS,LAJEADO BORDADO,0.078,67,0.149,0.806,0.045,0.0,0.045,0.194
89451,TUCUNDUVA,RS,BELA HARMONIA,0.052,126,0.254,0.73,0.0,0.016,0.016,0.27
