TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
24899,NAZARÉ DA MATA,PE,CENTRO,0.665,10599,0.62,0.342,0.013,0.02,0.036,0.656
24899,NAZARÉ DA MATA,PE,JUÁ,0.634,3993,0.61,0.35,0.01,0.023,0.039,0.649
24899,NAZARÉ DA MATA,PE,VILA,0.577,2334,0.614,0.351,0.016,0.013,0.033,0.647
24899,NAZARÉ DA MATA,PE,ALTO DA BOA VISTA,0.547,1192,0.625,0.339,0.015,0.017,0.037,0.662
24899,NAZARÉ DA MATA,PE,LOTEAMENTO SÍTIO NOVO,0.541,801,0.574,0.373,0.024,0.026,0.052,0.626
24899,NAZARÉ DA MATA,PE,SERTÃOZINHO,0.52,972,0.601,0.361,0.011,0.024,0.038,0.639
