TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
3131,SÃO JOÃO DA BALIZA,RR,RURAL,0.472,244,0.553,0.389,0.049,0.008,0.057,0.61
3131,SÃO JOÃO DA BALIZA,RR,MANOEL BEZERRA,0.432,757,0.329,0.585,0.065,0.013,0.086,0.415
3131,SÃO JOÃO DA BALIZA,RR,CENTRO,0.371,1640,0.279,0.656,0.045,0.013,0.065,0.344
3131,SÃO JOÃO DA BALIZA,RR,INDUSTRIAL,0.324,983,0.353,0.599,0.038,0.006,0.048,0.401
3131,SÃO JOÃO DA BALIZA,RR,UNIVERSO,0.291,522,0.345,0.605,0.033,0.008,0.051,0.396
