TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
23817,CARUARU,PE,INDIANOPOLIS,0.724,10841,0.546,0.389,0.023,0.036,0.065,0.611
23817,CARUARU,PE,1º DISTRITO,0.723,9541,0.655,0.299,0.016,0.023,0.046,0.701
23817,CARUARU,PE,CENTRO,0.72,21498,0.543,0.392,0.026,0.031,0.063,0.606
23817,CARUARU,PE,3º DISTRITO,0.709,4174,0.694,0.262,0.015,0.02,0.043,0.737
23817,CARUARU,PE,UNIVERSITARIO,0.704,6953,0.471,0.448,0.032,0.04,0.08,0.551
23817,CARUARU,PE,2º DISTRITO,0.689,9596,0.665,0.301,0.011,0.018,0.034,0.699
23817,CARUARU,PE,MAURICIO DE NASSAU,0.687,13622,0.504,0.431,0.024,0.034,0.064,0.568
23817,CARUARU,PE,4º DISTRITO,0.684,3731,0.711,0.253,0.017,0.013,0.034,0.745
23817,CARUARU,PE,SAO FRANCISCO,0.68,7612,0.585,0.365,0.017,0.027,0.049,0.634
23817,CARUARU,PE,DIVINOPOLIS,0.68,6233,0.565,0.38,0.021,0.028,0.054,0.619
23817,CARUARU,PE,PETROPOLIS,0.678,10892,0.53,0.412,0.022,0.029,0.057,0.587
23817,CARUARU,PE,VASSOURAL,0.663,8526,0.549,0.398,0.017,0.03,0.051,0.6
23817,CARUARU,PE,SALGADO,0.66,16422,0.548,0.403,0.016,0.026,0.048,0.596
23817,CARUARU,PE,COHAB III,0.657,4443,0.52,0.419,0.024,0.032,0.061,0.581
23817,CARUARU,PE,VILA PADRE INACIO,0.657,4204,0.572,0.376,0.019,0.024,0.052,0.624
23817,CARUARU,PE,BOA VISTA I (105ªZE),0.654,4123,0.535,0.406,0.02,0.031,0.058,0.593
23817,CARUARU,PE,CENTENARIO,0.652,2528,0.693,0.269,0.015,0.02,0.037,0.73
23817,CARUARU,PE,VILA KENNEDY,0.634,7486,0.524,0.426,0.018,0.027,0.05,0.574
23817,CARUARU,PE,CAIUCA,0.633,4795,0.519,0.425,0.022,0.03,0.055,0.574
23817,CARUARU,PE,SANTA ROSA,0.631,3742,0.557,0.392,0.021,0.024,0.05,0.607
23817,CARUARU,PE,JOAO MOTA,0.63,3110,0.594,0.36,0.015,0.023,0.046,0.64
23817,CARUARU,PE,RENDEIRAS,0.628,2001,0.57,0.371,0.018,0.035,0.058,0.628
23817,CARUARU,PE,RESIDENCIAL LUIZ BEZERRA TORRES,0.624,306,0.699,0.235,0.02,0.042,0.065,0.764
23817,CARUARU,PE,COHAB II,0.623,3878,0.506,0.437,0.022,0.03,0.058,0.564
23817,CARUARU,PE,VILA NOSSA SENHORA DAS GRAÇAS (TAQUARA),0.621,570,0.646,0.291,0.014,0.039,0.064,0.71
23817,CARUARU,PE,SAO JOAO DA ESCOCIA,0.62,4001,0.552,0.4,0.015,0.025,0.047,0.599
23817,CARUARU,PE,SÃO JOSÉ,0.612,1821,0.56,0.382,0.021,0.03,0.058,0.618
23817,CARUARU,PE,INOCOP,0.612,2263,0.548,0.395,0.02,0.03,0.056,0.604
23817,CARUARU,PE,CEDRO,0.606,3535,0.545,0.409,0.015,0.025,0.047,0.592
23817,CARUARU,PE,LOTEAMENTO MARIA AUXILIADORA,0.594,2685,0.547,0.404,0.019,0.025,0.049,0.596
23817,CARUARU,PE,BOA VISTA II,0.582,1870,0.515,0.427,0.019,0.034,0.059,0.574
23817,CARUARU,PE,ALTO DO MOURA,0.578,1169,0.606,0.346,0.017,0.025,0.049,0.655
23817,CARUARU,PE,NÃO UTILIZAR ESSE BAIRRO - DESABILITADO 3,0.578,2083,0.532,0.414,0.022,0.027,0.053,0.585
23817,CARUARU,PE,CIDADE JARDIM,0.576,1372,0.528,0.411,0.015,0.039,0.061,0.589
23817,CARUARU,PE,AGAMENON MAGALHAES,0.551,1575,0.525,0.422,0.027,0.021,0.053,0.578
23817,CARUARU,PE,NOSSA SENHORA DAS DORES,0.547,657,0.507,0.425,0.02,0.043,0.07,0.577
23817,CARUARU,PE,RESIDENCIAL ALTO DO MOURA,0.546,415,0.663,0.289,0.017,0.027,0.048,0.711
23817,CARUARU,PE,NÃO ESPECIFICADO,0.532,1013,0.554,0.397,0.014,0.032,0.05,0.604
