TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
85596,CACHOEIRA DO SUL,RS,BARCELOS,0.697,1456,0.503,0.394,0.061,0.03,0.105,0.608
85596,CACHOEIRA DO SUL,RS,MARINA,0.674,3424,0.417,0.481,0.062,0.025,0.102,0.519
85596,CACHOEIRA DO SUL,RS,BARRO VERMELHO,0.66,633,0.501,0.384,0.071,0.03,0.116,0.617
85596,CACHOEIRA DO SUL,RS,CARVALHO,0.657,1287,0.552,0.371,0.043,0.026,0.078,0.63
85596,CACHOEIRA DO SUL,RS,NOÊMIA,0.63,1745,0.493,0.429,0.053,0.017,0.078,0.571
85596,CACHOEIRA DO SUL,RS,NOSSA SENHORA DE FÁTIMA,0.627,1200,0.458,0.444,0.052,0.035,0.098,0.556
85596,CACHOEIRA DO SUL,RS,TUPINAMBÁ,0.626,2086,0.494,0.432,0.053,0.012,0.073,0.567
85596,CACHOEIRA DO SUL,RS,ALTO DO AMORIM,0.622,1227,0.43,0.462,0.066,0.024,0.108,0.538
85596,CACHOEIRA DO SUL,RS,CENTRO,0.621,6421,0.339,0.561,0.058,0.03,0.1,0.439
85596,CACHOEIRA DO SUL,RS,PALMEIRA,0.611,116,0.552,0.328,0.095,0.017,0.121,0.673
85596,CACHOEIRA DO SUL,RS,SANTO ANTÔNIO,0.597,2354,0.361,0.532,0.057,0.04,0.107,0.468
85596,CACHOEIRA DO SUL,RS,NUCLEO HABITACIONAL PROMORAR,0.591,659,0.504,0.413,0.042,0.03,0.083,0.587
85596,CACHOEIRA DO SUL,RS,MARQUES RIBEIRO,0.589,1029,0.419,0.478,0.066,0.03,0.103,0.522
85596,CACHOEIRA DO SUL,RS,PASSO DO MOURA,0.582,815,0.439,0.464,0.069,0.016,0.097,0.536
85596,CACHOEIRA DO SUL,RS,PONCHE VERDE,0.577,2058,0.366,0.533,0.065,0.026,0.1,0.466
85596,CACHOEIRA DO SUL,RS,SANTA HELENA,0.561,3430,0.323,0.581,0.06,0.023,0.095,0.418
85596,CACHOEIRA DO SUL,RS,UNIVERSITÁRIO,0.559,1006,0.409,0.497,0.065,0.021,0.095,0.504
85596,CACHOEIRA DO SUL,RS,PIQUIRI,0.556,1216,0.441,0.479,0.054,0.017,0.079,0.52
85596,CACHOEIRA DO SUL,RS,GONÇALVES,0.555,3337,0.313,0.59,0.057,0.027,0.097,0.41
85596,CACHOEIRA DO SUL,RS,COHAB,0.555,488,0.4,0.477,0.076,0.018,0.122,0.522
85596,CACHOEIRA DO SUL,RS,OLIVEIRA,0.54,1605,0.36,0.546,0.064,0.021,0.095,0.455
85596,CACHOEIRA DO SUL,RS,MEDIANEIRA,0.532,1623,0.346,0.558,0.057,0.028,0.097,0.443
85596,CACHOEIRA DO SUL,RS,SOARES,0.523,2029,0.295,0.597,0.064,0.032,0.108,0.403
85596,CACHOEIRA DO SUL,RS,SÃO JOSÉ,0.498,801,0.306,0.563,0.096,0.02,0.13,0.436
85596,CACHOEIRA DO SUL,RS,QUINTA DA BOA VISTA,0.492,529,0.456,0.473,0.043,0.021,0.072,0.528
85596,CACHOEIRA DO SUL,RS,CORDILHEIRA,0.478,256,0.406,0.496,0.082,0.012,0.098,0.504
85596,CACHOEIRA DO SUL,RS,TRÊS VENDAS,0.476,1294,0.369,0.554,0.051,0.018,0.077,0.446
85596,CACHOEIRA DO SUL,RS,FERREIRA,0.471,678,0.473,0.468,0.031,0.019,0.059,0.532
85596,CACHOEIRA DO SUL,RS,QUARTEL MESTRE,0.433,302,0.301,0.57,0.073,0.026,0.129,0.43
85596,CACHOEIRA DO SUL,RS,RIO BRANCO,0.433,1234,0.222,0.673,0.059,0.034,0.105,0.327
85596,CACHOEIRA DO SUL,RS,CAPANEZINHO,0.422,53,0.415,0.491,0.075,0.0,0.094,0.509
85596,CACHOEIRA DO SUL,RS,BOSQUE,0.402,464,0.377,0.552,0.037,0.011,0.072,0.449
85596,CACHOEIRA DO SUL,RS,BARRAGEM DO CAPANÉ,0.399,153,0.294,0.562,0.098,0.033,0.144,0.438
85596,CACHOEIRA DO SUL,RS,PASSO D' AREIA,0.354,247,0.433,0.51,0.032,0.012,0.056,0.489
85596,CACHOEIRA DO SUL,RS,FORQUETA,0.325,164,0.482,0.476,0.037,0.0,0.043,0.525
85596,CACHOEIRA DO SUL,RS,SANTA BARBARA,0.325,59,0.203,0.627,0.119,0.034,0.17,0.373
85596,CACHOEIRA DO SUL,RS,PORTEIRA SETE,0.245,64,0.281,0.641,0.078,0.0,0.078,0.359
85596,CACHOEIRA DO SUL,RS,PASSO DO SERINGA,0.202,108,0.269,0.667,0.028,0.019,0.065,0.334
