TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
82198,MORRO DA FUMAÇA,SC,LINHA TORRENS,0.426,794,0.202,0.67,0.082,0.026,0.129,0.331
82198,MORRO DA FUMAÇA,SC,CENTRO,0.354,3109,0.196,0.748,0.031,0.012,0.057,0.253
82198,MORRO DA FUMAÇA,SC,DE COSTA,0.314,1288,0.199,0.738,0.031,0.019,0.064,0.263
82198,MORRO DA FUMAÇA,SC,ESTACAO COCAL,0.31,1544,0.144,0.794,0.026,0.022,0.062,0.206
82198,MORRO DA FUMAÇA,SC,JUSSARA,0.301,1371,0.243,0.701,0.027,0.015,0.056,0.299
82198,MORRO DA FUMAÇA,SC,NASPOLINI,0.278,1380,0.235,0.714,0.022,0.019,0.051,0.286
82198,MORRO DA FUMAÇA,SC,MINA FLUORITA,0.239,558,0.188,0.753,0.032,0.016,0.059,0.247
82198,MORRO DA FUMAÇA,SC,GRAZIELA,0.208,722,0.181,0.771,0.024,0.012,0.047,0.228
