TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
35793,IPIAÚ,BA,CENTRO,0.728,11403,0.612,0.335,0.025,0.02,0.054,0.666
35793,IPIAÚ,BA,DEMOCRACIA,0.696,2459,0.661,0.283,0.028,0.019,0.055,0.716
35793,IPIAÚ,BA,EUCLIDES NETO,0.695,1897,0.707,0.243,0.025,0.015,0.052,0.759
35793,IPIAÚ,BA,NOSSA SENHORA APARECIDA,0.693,1287,0.775,0.179,0.016,0.022,0.046,0.821
35793,IPIAÚ,BA,SANTANA,0.648,2715,0.648,0.309,0.017,0.018,0.043,0.691
35793,IPIAÚ,BA,DISTRITO CORREGO DE PEDRAS,0.636,544,0.831,0.138,0.015,0.011,0.032,0.863
35793,IPIAÚ,BA,POVOADO FAZENDA DO POVO,0.611,392,0.778,0.179,0.013,0.013,0.044,0.822
35793,IPIAÚ,BA,SITIO DO PICA PAU AMARELO,0.591,810,0.743,0.225,0.006,0.015,0.032,0.775
35793,IPIAÚ,BA,CONCEICAO,0.561,1253,0.547,0.397,0.028,0.018,0.055,0.602
35793,IPIAÚ,BA,ACM,0.549,766,0.661,0.302,0.016,0.016,0.039,0.7
