TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
15237,PORTEIRAS,CE,CENTRO-SEDE,0.861,3733,0.785,0.15,0.007,0.053,0.065,0.85
15237,PORTEIRAS,CE,SAQUINHO-SEDE,0.817,193,0.803,0.078,0.0,0.119,0.119,0.922
15237,PORTEIRAS,CE,CENTRO,0.785,1144,0.79,0.142,0.007,0.056,0.067,0.857
15237,PORTEIRAS,CE,SIMAO-SEDE,0.763,787,0.846,0.097,0.008,0.047,0.057,0.903
15237,PORTEIRAS,CE,VIEIRA GRANDE-SEDE,0.727,506,0.915,0.042,0.002,0.042,0.044,0.959
15237,PORTEIRAS,CE,CANCELA-SEDE,0.721,287,0.889,0.056,0.007,0.045,0.055,0.944
15237,PORTEIRAS,CE,ABREUS DOIS-SEDE,0.71,748,0.885,0.078,0.007,0.029,0.037,0.922
15237,PORTEIRAS,CE,LOGRADOURO-SEDE,0.698,290,0.852,0.093,0.003,0.038,0.055,0.907
15237,PORTEIRAS,CE,PICARRA-SEDE,0.698,75,0.867,0.067,0.0,0.067,0.067,0.934
15237,PORTEIRAS,CE,ZONA RURAL,0.691,674,0.853,0.105,0.001,0.036,0.04,0.893
15237,PORTEIRAS,CE,FREI JORGE-SEDE,0.673,452,0.934,0.042,0.0,0.024,0.024,0.958
15237,PORTEIRAS,CE,VASSOURINHA-SEDE,0.673,215,0.93,0.028,0.009,0.033,0.042,0.972
15237,PORTEIRAS,CE,PEDRA BRANCA-SEDE,0.668,358,0.905,0.061,0.003,0.031,0.034,0.939
15237,PORTEIRAS,CE,MALHADA REDONDA,0.665,285,0.933,0.035,0.004,0.025,0.033,0.966
15237,PORTEIRAS,CE,BARRIGUDA-SEDE,0.636,163,0.92,0.043,0.006,0.031,0.037,0.957
15237,PORTEIRAS,CE,MOREIRA-SEDE,0.634,408,0.86,0.11,0.01,0.02,0.03,0.89
15237,PORTEIRAS,CE,BARREIROS-SEDE,0.622,297,0.882,0.091,0.01,0.013,0.026,0.908
