TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
14699,MISSÃO VELHA,CE,SEDE,0.866,6755,0.776,0.161,0.009,0.049,0.061,0.837
14699,MISSÃO VELHA,CE,ZONA RURAL,0.852,6593,0.853,0.104,0.006,0.034,0.043,0.896
14699,MISSÃO VELHA,CE,DISTRITO DE JAMACARU,0.809,3016,0.8,0.147,0.011,0.041,0.053,0.853
14699,MISSÃO VELHA,CE,SITIO ALEIXO,0.806,839,0.855,0.08,0.008,0.055,0.065,0.92
14699,MISSÃO VELHA,CE,TRILHO DE FERRO,0.761,641,0.802,0.131,0.011,0.055,0.068,0.87
14699,MISSÃO VELHA,CE,CENTRO,0.745,1650,0.759,0.183,0.007,0.047,0.057,0.816
14699,MISSÃO VELHA,CE,FREI DAMIÃO DE BOZZANO,0.724,1206,0.784,0.163,0.006,0.045,0.053,0.837
14699,MISSÃO VELHA,CE,MISSAO NOVA,0.709,1303,0.787,0.167,0.009,0.033,0.047,0.834
14699,MISSÃO VELHA,CE,ARRAIAL DE CIMA,0.686,473,0.913,0.053,0.006,0.025,0.033,0.946
14699,MISSÃO VELHA,CE,SITIO SANTA TEREZA,0.668,396,0.811,0.139,0.01,0.038,0.051,0.862
14699,MISSÃO VELHA,CE,SITIO AROEIRAS,0.585,221,0.891,0.1,0.005,0.005,0.01,0.901
