TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
4006,GOIANÉSIA DO PARÁ,PA,ZONA RURAL,0.722,3372,0.616,0.32,0.042,0.018,0.063,0.679
4006,GOIANÉSIA DO PARÁ,PA,CENTRO,0.641,7284,0.518,0.429,0.027,0.021,0.053,0.571
4006,GOIANÉSIA DO PARÁ,PA,NOVO HORIZONTE,0.626,1349,0.687,0.268,0.026,0.018,0.045,0.732
4006,GOIANÉSIA DO PARÁ,PA,SANTO AMARO,0.606,989,0.519,0.405,0.047,0.023,0.076,0.595
4006,GOIANÉSIA DO PARÁ,PA,SANTA LUZIA,0.594,1567,0.619,0.336,0.03,0.01,0.046,0.665
4006,GOIANÉSIA DO PARÁ,PA,BOA ESPERANÇA,0.515,201,0.697,0.259,0.035,0.0,0.045,0.742
4006,GOIANÉSIA DO PARÁ,PA,RIO VERDE,0.508,944,0.512,0.434,0.029,0.021,0.054,0.566
4006,GOIANÉSIA DO PARÁ,PA,COLEGIAL,0.284,259,0.471,0.506,0.019,0.004,0.023,0.494
