TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
70831,SÃO JOÃO DA BOA VISTA,SP,JARDIM SANTO ANDRÉ,0.604,9429,0.295,0.598,0.063,0.029,0.107,0.402
70831,SÃO JOÃO DA BOA VISTA,SP,VILA CONCEIÇÃO,0.584,2344,0.387,0.522,0.055,0.025,0.09,0.477
70831,SÃO JOÃO DA BOA VISTA,SP,JARDIM LUCAS TEIXEIRA,0.582,2392,0.375,0.533,0.046,0.029,0.093,0.468
70831,SÃO JOÃO DA BOA VISTA,SP,JARDIM DURVAL NICOLAU,0.569,2701,0.359,0.549,0.057,0.023,0.091,0.45
70831,SÃO JOÃO DA BOA VISTA,SP,JARDIM ITÁLIA,0.56,1082,0.363,0.519,0.065,0.036,0.118,0.481
70831,SÃO JOÃO DA BOA VISTA,SP,VILA LOYOLA,0.559,4457,0.279,0.616,0.057,0.032,0.104,0.383
70831,SÃO JOÃO DA BOA VISTA,SP,SANTO ANTONIO,0.55,3231,0.348,0.567,0.051,0.022,0.084,0.432
70831,SÃO JOÃO DA BOA VISTA,SP,ROSÁRIO,0.549,2294,0.306,0.583,0.06,0.035,0.112,0.418
70831,SÃO JOÃO DA BOA VISTA,SP,VILA CLAYTON,0.543,1310,0.335,0.549,0.076,0.028,0.117,0.452
70831,SÃO JOÃO DA BOA VISTA,SP,VILA VALENTIN,0.532,2498,0.279,0.61,0.065,0.031,0.111,0.39
70831,SÃO JOÃO DA BOA VISTA,SP,VILA BRASIL,0.531,3158,0.326,0.59,0.048,0.023,0.085,0.411
70831,SÃO JOÃO DA BOA VISTA,SP,JARDIM PRIMAVERA,0.53,1750,0.369,0.546,0.046,0.025,0.086,0.455
70831,SÃO JOÃO DA BOA VISTA,SP,PARQUE DOS RESEDÁS,0.516,473,0.457,0.463,0.049,0.021,0.08,0.537
70831,SÃO JOÃO DA BOA VISTA,SP,JARDIM SÃO PAULO,0.509,2676,0.325,0.593,0.043,0.026,0.083,0.408
70831,SÃO JOÃO DA BOA VISTA,SP,JARDIM MAGALHÃES,0.506,2376,0.316,0.597,0.048,0.027,0.088,0.404
70831,SÃO JOÃO DA BOA VISTA,SP,JARDIM PROGRESSO,0.501,2488,0.311,0.603,0.052,0.028,0.086,0.397
70831,SÃO JOÃO DA BOA VISTA,SP,CENTRO,0.488,2133,0.253,0.642,0.068,0.021,0.104,0.357
70831,SÃO JOÃO DA BOA VISTA,SP,SÃO LAZARO,0.481,1475,0.299,0.602,0.063,0.028,0.098,0.397
70831,SÃO JOÃO DA BOA VISTA,SP,ALEGRE,0.449,963,0.293,0.607,0.053,0.025,0.099,0.392
70831,SÃO JOÃO DA BOA VISTA,SP,NOSSA SENHORA DE FÁTIMA,0.434,1085,0.299,0.614,0.057,0.024,0.088,0.387
70831,SÃO JOÃO DA BOA VISTA,SP,BAIRRO ALEGRE,0.427,944,0.229,0.661,0.069,0.033,0.11,0.339
70831,SÃO JOÃO DA BOA VISTA,SP,PEDREGULHO,0.354,378,0.169,0.717,0.069,0.021,0.114,0.283
