TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
77313,PAIÇANDU,PR,JARDIM SANTA LUCIA,0.657,1403,0.482,0.422,0.057,0.026,0.096,0.578
77313,PAIÇANDU,PR,JARDIM SANTO ANTONIO,0.657,1000,0.53,0.381,0.051,0.027,0.089,0.619
77313,PAIÇANDU,PR,PARQUE BELA VISTA,0.647,3295,0.43,0.482,0.044,0.033,0.087,0.517
77313,PAIÇANDU,PR,JARDIM JOÃO PAULO II,0.622,926,0.489,0.419,0.059,0.015,0.091,0.58
77313,PAIÇANDU,PR,JARDIM CANADA,0.62,924,0.503,0.41,0.041,0.027,0.086,0.589
77313,PAIÇANDU,PR,CENTRO,0.607,5207,0.359,0.552,0.048,0.027,0.09,0.449
77313,PAIÇANDU,PR,JARDIM CÔNEGO JOSÉ JESU FLOR,0.574,1288,0.388,0.509,0.053,0.04,0.104,0.492
77313,PAIÇANDU,PR,CONJ. RES. BELA VISTA 2ª PARTE,0.574,1212,0.443,0.473,0.053,0.018,0.084,0.527
77313,PAIÇANDU,PR,JARDIM SANTA HELENA,0.571,1702,0.388,0.519,0.055,0.022,0.094,0.482
77313,PAIÇANDU,PR,JARDIM PETRÓPOLIS,0.546,755,0.384,0.506,0.056,0.038,0.11,0.494
77313,PAIÇANDU,PR,JARDIM SANTA EFIGENIA,0.518,2531,0.362,0.562,0.047,0.019,0.076,0.438
77313,PAIÇANDU,PR,JARDIM JOÃO DE QUEIROZ,0.513,855,0.407,0.509,0.04,0.036,0.084,0.491
77313,PAIÇANDU,PR,AGUA BOA,0.432,837,0.343,0.577,0.054,0.02,0.08,0.423
