TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
62316,BIRITIBA MIRIM,SP,JARDIM TAKEBE,0.674,3739,0.38,0.5,0.07,0.035,0.12,0.5
62316,BIRITIBA MIRIM,SP,CENTRO,0.672,4571,0.358,0.513,0.079,0.031,0.129,0.487
62316,BIRITIBA MIRIM,SP,JARDIM VISTA ALEGRE,0.626,3194,0.379,0.521,0.058,0.022,0.1,0.479
62316,BIRITIBA MIRIM,SP,CRUZ DAS ALMAS,0.61,1444,0.398,0.49,0.064,0.033,0.113,0.511
62316,BIRITIBA MIRIM,SP,JARDIM YONEDA,0.587,2077,0.371,0.525,0.057,0.028,0.102,0.473
62316,BIRITIBA MIRIM,SP,IROHY,0.54,1788,0.332,0.563,0.067,0.022,0.104,0.436
62316,BIRITIBA MIRIM,SP,JARDIM DOS EUCALIPTOS,0.501,726,0.394,0.518,0.045,0.025,0.087,0.481
