TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
64033,EMBU-GUAÇU,SP,CIPO,0.834,8944,0.504,0.372,0.067,0.035,0.123,0.627
64033,EMBU-GUAÇU,SP,CENTRO,0.788,7574,0.435,0.419,0.082,0.043,0.147,0.582
64033,EMBU-GUAÇU,SP,VILA DIRCE,0.773,2974,0.482,0.385,0.069,0.035,0.133,0.615
64033,EMBU-GUAÇU,SP,JARDIM EMILIA,0.752,4891,0.43,0.443,0.064,0.043,0.129,0.559
64033,EMBU-GUAÇU,SP,JARDIM SAO PAULO,0.736,2154,0.47,0.397,0.075,0.038,0.133,0.603
64033,EMBU-GUAÇU,SP,FILIPINHO,0.734,1431,0.519,0.361,0.055,0.046,0.12,0.639
64033,EMBU-GUAÇU,SP,JARDIM PROGRESSO,0.716,1346,0.53,0.364,0.053,0.035,0.106,0.636
64033,EMBU-GUAÇU,SP,SANTA ISABEL,0.706,1727,0.507,0.393,0.048,0.032,0.101,0.608
64033,EMBU-GUAÇU,SP,CHACARA FLORIDA,0.705,1921,0.467,0.417,0.056,0.038,0.116,0.583
64033,EMBU-GUAÇU,SP,PENTEADO,0.695,1253,0.53,0.371,0.046,0.028,0.098,0.628
64033,EMBU-GUAÇU,SP,VAL FLOR,0.688,1730,0.462,0.425,0.06,0.037,0.113,0.575
64033,EMBU-GUAÇU,SP,VILA LOURO,0.681,2402,0.399,0.461,0.072,0.045,0.139,0.538
64033,EMBU-GUAÇU,SP,CONGONHAL,0.659,954,0.48,0.409,0.059,0.03,0.111,0.591
