TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
7480,CIDELÂNDIA,MA,CENTRO - ZONA URBANA,0.697,4090,0.662,0.291,0.015,0.029,0.046,0.708
7480,CIDELÂNDIA,MA,POVOADO VIRACAO - ZONA RURAL,0.633,376,0.782,0.17,0.032,0.011,0.049,0.831
7480,CIDELÂNDIA,MA,POVOADO CIRIACO - ZONA RURAL,0.612,335,0.824,0.14,0.009,0.018,0.036,0.86
7480,CIDELÂNDIA,MA,ASSENTAMENTO SÃO JORGE - ZONA RURAL,0.611,164,0.933,0.043,0.0,0.018,0.024,0.957
7480,CIDELÂNDIA,MA,ASSENTAMENTO ITAIGUARA - ZONA RURAL,0.608,494,0.832,0.146,0.014,0.008,0.022,0.854
7480,CIDELÂNDIA,MA,ASSENTAMENTO SOL BRILHANTE - ZONA RURAL,0.588,392,0.753,0.204,0.028,0.005,0.043,0.796
7480,CIDELÂNDIA,MA,SAO JOAO DO ANDIROBAL - ZONA RURAL,0.554,561,0.658,0.298,0.029,0.011,0.046,0.704
7480,CIDELÂNDIA,MA,POVOADO CENTRO DO ABRAÃO - ZONA RURAL,0.543,222,0.82,0.162,0.014,0.005,0.019,0.839
7480,CIDELÂNDIA,MA,POVOADO SAO DOMINGOS - ZONA RURAL,0.54,413,0.765,0.215,0.015,0.005,0.02,0.785
7480,CIDELÂNDIA,MA,PEQUIZEIRO - ZONA URBANA,0.515,534,0.612,0.343,0.015,0.026,0.045,0.657
7480,CIDELÂNDIA,MA,POVOADO PALMEIRANDIA - ZONA RURAL,0.49,247,0.741,0.239,0.016,0.004,0.02,0.761
7480,CIDELÂNDIA,MA,POVOADO SÃO FRANCISCO - ZONA RURAL,0.474,157,0.758,0.223,0.006,0.006,0.018,0.776
7480,CIDELÂNDIA,MA,POVOADO TRECHO SECO - ZONA RURAL,0.356,283,0.495,0.466,0.007,0.032,0.039,0.534
