TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
33375,APORÁ,BA,POVOADO MANGABEIRA,0.847,518,0.761,0.12,0.048,0.052,0.119,0.88
33375,APORÁ,BA,DISTRITO DE ITAMIRA,0.843,4584,0.747,0.189,0.025,0.026,0.065,0.812
33375,APORÁ,BA,CENTRO,0.781,3378,0.771,0.179,0.016,0.022,0.05,0.821
33375,APORÁ,BA,POVOADO BARRAJADO,0.763,343,0.828,0.099,0.029,0.038,0.073,0.901
33375,APORÁ,BA,POVOADO CHAPADA,0.733,802,0.799,0.142,0.035,0.017,0.058,0.857
33375,APORÁ,BA,POVOADO PIÇARRA,0.623,316,0.877,0.098,0.013,0.013,0.026,0.903
