TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
13234,ARACOIABA,CE,CENTRO-SEDE,0.821,5173,0.66,0.265,0.01,0.059,0.075,0.735
13234,ARACOIABA,CE,IDEAL-DISTRITO,0.768,3345,0.785,0.172,0.009,0.031,0.044,0.829
13234,ARACOIABA,CE,SAO JOSE-SEDE,0.742,568,0.688,0.22,0.026,0.058,0.091,0.779
13234,ARACOIABA,CE,VAZANTES-DISTRITO,0.741,1540,0.805,0.147,0.007,0.036,0.049,0.854
13234,ARACOIABA,CE,MILTON BELO-DISTRITO,0.736,1554,0.791,0.16,0.009,0.035,0.05,0.841
13234,ARACOIABA,CE,JAGUARAO-DISTRITO,0.698,1037,0.708,0.23,0.013,0.041,0.063,0.771
13234,ARACOIABA,CE,ARRAIAL SANTA IZABEL-SITIO,0.695,502,0.749,0.185,0.016,0.044,0.066,0.815
13234,ARACOIABA,CE,JENIPAPEIRO-DISTRITO,0.693,764,0.751,0.19,0.017,0.038,0.059,0.81
13234,ARACOIABA,CE,CANINHAS-SITIO,0.684,686,0.86,0.103,0.004,0.028,0.036,0.896
13234,ARACOIABA,CE,PLACIDO MARTINS-DISTRITO,0.683,1047,0.765,0.186,0.008,0.037,0.049,0.814
13234,ARACOIABA,CE,LAGOA DE SAO JOAO-DISTRITO,0.675,676,0.717,0.22,0.021,0.03,0.062,0.779
13234,ARACOIABA,CE,BAIXIO-SITIO,0.634,321,0.863,0.103,0.006,0.025,0.034,0.897
13234,ARACOIABA,CE,BOLANDEIRA-SEDE,0.628,1069,0.755,0.21,0.009,0.022,0.036,0.791
13234,ARACOIABA,CE,AGROVILA,0.627,416,0.815,0.147,0.005,0.029,0.039,0.854
13234,ARACOIABA,CE,ENCOSTA-POVOADO,0.609,479,0.754,0.2,0.006,0.033,0.045,0.799
13234,ARACOIABA,CE,SOLON LIMA VERDE-SEDE,0.573,473,0.757,0.209,0.0,0.03,0.034,0.791
13234,ARACOIABA,CE,PEDRA BRANCA-DISTRITO,0.504,296,0.486,0.436,0.0,0.074,0.077,0.563
13234,ARACOIABA,CE,ASSUNCAO-SITIO,0.389,113,0.566,0.389,0.0,0.044,0.044,0.61
