TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
79251,TIJUCAS DO SUL,PR,LAGOA,0.611,2139,0.484,0.443,0.048,0.016,0.071,0.555
79251,TIJUCAS DO SUL,PR,FAGUNDES,0.601,738,0.442,0.45,0.079,0.015,0.108,0.55
79251,TIJUCAS DO SUL,PR,CAMPESTRE,0.599,625,0.485,0.422,0.072,0.013,0.093,0.578
79251,TIJUCAS DO SUL,PR,CENTRO,0.588,2776,0.356,0.546,0.061,0.027,0.099,0.455
79251,TIJUCAS DO SUL,PR,POSTINHO,0.556,350,0.626,0.314,0.031,0.014,0.059,0.685
79251,TIJUCAS DO SUL,PR,TABATINGA,0.499,719,0.389,0.522,0.051,0.022,0.089,0.478
79251,TIJUCAS DO SUL,PR,COLONO,0.486,558,0.376,0.529,0.045,0.03,0.095,0.471
79251,TIJUCAS DO SUL,PR,CAMPO ALTO,0.471,464,0.455,0.476,0.045,0.009,0.069,0.524
79251,TIJUCAS DO SUL,PR,MATULÃO,0.415,435,0.485,0.464,0.03,0.011,0.05,0.535
79251,TIJUCAS DO SUL,PR,CAMPINA,0.397,647,0.354,0.573,0.032,0.014,0.072,0.426
