TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
85529,SEGREDO,RS,BELA VISTA,0.618,701,0.581,0.347,0.054,0.016,0.072,0.653
85529,SEGREDO,RS,três vendas,0.564,150,0.74,0.207,0.033,0.02,0.053,0.793
85529,SEGREDO,RS,CENTRO,0.554,1327,0.411,0.503,0.063,0.015,0.086,0.497
85529,SEGREDO,RS,LINHA BONITA,0.526,79,0.443,0.418,0.114,0.0,0.14,0.583
85529,SEGREDO,RS,CERRO QUEIMADO,0.521,99,0.717,0.232,0.051,0.0,0.051,0.768
85529,SEGREDO,RS,CARAVAGIO,0.52,58,0.621,0.31,0.069,0.0,0.069,0.69
85529,SEGREDO,RS,SERRINHA VELHA,0.513,266,0.541,0.391,0.045,0.019,0.068,0.609
85529,SEGREDO,RS,LINHA LIMBERGER,0.509,58,0.534,0.379,0.034,0.0,0.085,0.619
85529,SEGREDO,RS,RINCÃO NOSSA SENHORA DAS GRAÇAS,0.502,152,0.493,0.421,0.066,0.013,0.086,0.579
85529,SEGREDO,RS,COLÔNIA CHAVES,0.484,78,0.782,0.192,0.0,0.026,0.026,0.808
85529,SEGREDO,RS,LAJEADO SAPOPEMA,0.481,51,0.529,0.392,0.078,0.0,0.078,0.607
85529,SEGREDO,RS,rincão NOSSA SENHORA APARECIDA,0.472,146,0.534,0.397,0.041,0.027,0.068,0.602
85529,SEGREDO,RS,LINHA BRASIL,0.39,106,0.66,0.321,0.019,0.0,0.019,0.679
85529,SEGREDO,RS,SERRINHA DO PINHAL,0.381,112,0.402,0.518,0.054,0.018,0.081,0.483
85529,SEGREDO,RS,LINHA MEDIANEIRA,0.374,85,0.365,0.541,0.047,0.035,0.094,0.459
85529,SEGREDO,RS,VILA TAMANDUÁ,0.372,484,0.32,0.601,0.048,0.019,0.079,0.399
85529,SEGREDO,RS,LINHA MARION,0.351,122,0.303,0.59,0.09,0.008,0.106,0.409
85529,SEGREDO,RS,LINHA CAMARGO,0.31,143,0.448,0.503,0.021,0.028,0.049,0.497
85529,SEGREDO,RS,SERRINHA ALTA,0.306,219,0.397,0.548,0.023,0.023,0.055,0.452
