TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
14354,JAGUARETAMA,CE,CENTRO,0.89,7630,0.792,0.145,0.006,0.053,0.063,0.855
14354,JAGUARETAMA,CE,SITIO AROEIRAS,0.789,128,0.812,0.078,0.008,0.078,0.109,0.921
14354,JAGUARETAMA,CE,SITIO RIACHO DA SALVACAO,0.788,208,0.812,0.091,0.067,0.029,0.096,0.908
14354,JAGUARETAMA,CE,ASSENTAMENTO NOVO ALAGAMAR,0.785,384,0.862,0.068,0.008,0.06,0.071,0.933
14354,JAGUARETAMA,CE,DISTRITO DE DESTERRO,0.746,524,0.803,0.13,0.015,0.05,0.067,0.87
14354,JAGUARETAMA,CE,SITIO BELO HORIZONTE,0.739,170,0.771,0.135,0.035,0.059,0.094,0.865
14354,JAGUARETAMA,CE,SÍTIO SÃO PEDRO I,0.71,84,0.857,0.071,0.012,0.048,0.072,0.929
14354,JAGUARETAMA,CE,SÍTIO NOVO,0.663,260,0.865,0.088,0.004,0.038,0.046,0.911
14354,JAGUARETAMA,CE,SITIO CUMBE,0.655,203,0.685,0.232,0.03,0.049,0.084,0.769
14354,JAGUARETAMA,CE,CONJUNTO ADIVAN PEIXOTO,0.644,428,0.82,0.138,0.002,0.04,0.042,0.862
14354,JAGUARETAMA,CE,SÍTIO SÃO PEDRO II,0.64,266,0.872,0.09,0.015,0.023,0.038,0.91
14354,JAGUARETAMA,CE,SITIO SERROTE DO MATO,0.636,310,0.877,0.09,0.0,0.032,0.032,0.909
14354,JAGUARETAMA,CE,ZONA RURAL,0.62,435,0.848,0.126,0.005,0.016,0.026,0.874
14354,JAGUARETAMA,CE,VARZEA GRANDE,0.619,224,0.781,0.165,0.0,0.036,0.054,0.835
14354,JAGUARETAMA,CE,SITIO SERROTE BRANCO,0.601,277,0.823,0.141,0.004,0.032,0.036,0.859
14354,JAGUARETAMA,CE,SITIO ALEGRE,0.583,273,0.846,0.132,0.007,0.015,0.022,0.868
14354,JAGUARETAMA,CE,SITIO LUIS FERREIRA,0.57,156,0.821,0.141,0.006,0.026,0.038,0.859
