TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
61638,ARARAQUARA,SP,JARDIM ROBERTO SELMI DEI III,0.791,3756,0.618,0.303,0.04,0.024,0.079,0.697
61638,ARARAQUARA,SP,JARDIM NOVA ARARAQUARA,0.78,6490,0.49,0.407,0.051,0.035,0.103,0.593
61638,ARARAQUARA,SP,JARDIM RESIDENCIAL ITALIA,0.778,3742,0.528,0.373,0.047,0.039,0.099,0.627
61638,ARARAQUARA,SP,JARDIM ROBERTO SELMI DEI,0.765,4369,0.527,0.381,0.05,0.027,0.09,0.617
61638,ARARAQUARA,SP,VILA XAVIER,0.754,9538,0.433,0.454,0.066,0.034,0.112,0.545
61638,ARARAQUARA,SP,JARDIM INDAIA,0.753,2814,0.568,0.347,0.044,0.026,0.085,0.653
61638,ARARAQUARA,SP,CENTRO,0.753,17451,0.398,0.469,0.074,0.042,0.133,0.531
61638,ARARAQUARA,SP,JARDIM RESIDENCIAL PARAISO,0.745,4181,0.428,0.439,0.077,0.039,0.133,0.561
61638,ARARAQUARA,SP,PARQUE RESIDENCIAL IGUATEMI,0.743,3113,0.524,0.385,0.051,0.027,0.091,0.615
61638,ARARAQUARA,SP,JARDIM UNIVERSAL,0.73,3229,0.433,0.437,0.068,0.04,0.129,0.562
61638,ARARAQUARA,SP,JARDIM AMÉRICA,0.73,3673,0.485,0.42,0.053,0.03,0.095,0.58
61638,ARARAQUARA,SP,JARDIM PINHEIROS,0.728,3715,0.492,0.416,0.051,0.026,0.091,0.583
61638,ARARAQUARA,SP,JARDIM FLORIDIANA,0.727,4026,0.421,0.454,0.067,0.044,0.124,0.545
61638,ARARAQUARA,SP,JARDIM SILVANIA,0.722,4060,0.434,0.455,0.066,0.032,0.111,0.545
61638,ARARAQUARA,SP,PARQUE SAO PAULO,0.721,3212,0.551,0.373,0.045,0.02,0.076,0.627
61638,ARARAQUARA,SP,VILA MELHADO,0.721,3055,0.443,0.441,0.063,0.037,0.117,0.56
61638,ARARAQUARA,SP,JARDIM ADALBERTO FREDERICO DE OLIVEIRA ROXO I,0.721,2522,0.586,0.339,0.041,0.022,0.074,0.66
61638,ARARAQUARA,SP,JARDIM DAS ESTAÇÕES,0.717,2528,0.469,0.422,0.055,0.037,0.109,0.578
61638,ARARAQUARA,SP,JARDIM RESIDENCIAL SILVESTRE,0.717,1813,0.592,0.33,0.039,0.026,0.079,0.671
61638,ARARAQUARA,SP,JARDIM CRUZEIRO DO SUL I E II,0.708,2919,0.568,0.361,0.034,0.027,0.071,0.639
61638,ARARAQUARA,SP,CAMPUS VILLE,0.706,1377,0.485,0.393,0.055,0.038,0.123,0.608
61638,ARARAQUARA,SP,VILA PROGRESSO,0.704,2395,0.446,0.437,0.064,0.037,0.117,0.563
61638,ARARAQUARA,SP,JARDIM ALTOS DO CECAP I E II,0.701,2814,0.478,0.429,0.05,0.029,0.093,0.571
61638,ARARAQUARA,SP,JARDIM PAULISTANO,0.701,2914,0.426,0.457,0.07,0.033,0.117,0.543
61638,ARARAQUARA,SP,JARDIM ELIANA,0.685,2638,0.418,0.462,0.071,0.035,0.118,0.536
61638,ARARAQUARA,SP,JARDIM MARIA LUIZA,0.683,2896,0.441,0.459,0.056,0.031,0.1,0.541
61638,ARARAQUARA,SP,VILA SANTANA,0.68,2079,0.441,0.446,0.071,0.029,0.112,0.553
61638,ARARAQUARA,SP,PARQUE DAS HORTENCIAS,0.672,1792,0.66,0.286,0.028,0.022,0.055,0.715
61638,ARARAQUARA,SP,JARDIM ADALGISA,0.663,2335,0.395,0.477,0.07,0.044,0.127,0.522
61638,ARARAQUARA,SP,DR. TANCREDO DE ALMEIDA NEVES (CECAP),0.662,1023,0.519,0.387,0.048,0.037,0.094,0.613
61638,ARARAQUARA,SP,JARDIM DOM PEDRO I,0.653,1540,0.408,0.456,0.071,0.043,0.135,0.543
61638,ARARAQUARA,SP,JARDIM SANTA CLARA,0.652,1535,0.485,0.425,0.05,0.025,0.09,0.575
61638,ARARAQUARA,SP,VILA HARMONIA,0.645,2760,0.359,0.508,0.078,0.038,0.134,0.493
61638,ARARAQUARA,SP,VILA SEDENHO,0.641,2250,0.37,0.494,0.083,0.037,0.135,0.505
