TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
4839,MARABÁ,PA,MORADA NOVA,0.706,6825,0.542,0.394,0.037,0.022,0.064,0.606
4839,MARABÁ,PA,SÃO FÉLIX,0.698,5610,0.565,0.376,0.032,0.021,0.059,0.624
4839,MARABÁ,PA,MARABÁ PIONEIRA,0.688,8991,0.491,0.44,0.036,0.028,0.069,0.56
4839,MARABÁ,PA,ZONA RURAL,0.671,15079,0.552,0.399,0.029,0.016,0.05,0.602
4839,MARABÁ,PA,JARDIM SUMARÉ,0.67,2604,0.584,0.355,0.03,0.023,0.061,0.645
4839,MARABÁ,PA,NOVO SÃO FÉLIX,0.644,4442,0.497,0.44,0.034,0.023,0.063,0.56
4839,MARABÁ,PA,INDEPENDÊNCIA,0.632,3510,0.511,0.428,0.036,0.019,0.061,0.572
4839,MARABÁ,PA,BOM PLANALTO,0.623,3577,0.512,0.43,0.031,0.023,0.058,0.57
4839,MARABÁ,PA,LIBERDADE,0.617,10832,0.473,0.471,0.028,0.024,0.055,0.528
4839,MARABÁ,PA,NOVA MARABÁ,0.59,45435,0.401,0.535,0.03,0.027,0.064,0.465
4839,MARABÁ,PA,LARANJEIRAS,0.55,5407,0.391,0.547,0.032,0.026,0.064,0.455
4839,MARABÁ,PA,BELO HORIZONTE,0.549,10906,0.344,0.584,0.029,0.037,0.071,0.415
4839,MARABÁ,PA,AMAPÁ,0.545,4643,0.424,0.519,0.029,0.022,0.056,0.48
4839,MARABÁ,PA,NOSSA SENHORA APARECIDA,0.537,2904,0.473,0.477,0.032,0.014,0.05,0.523
4839,MARABÁ,PA,NOVO HORIZONTE,0.53,3902,0.331,0.589,0.036,0.035,0.079,0.41
4839,MARABÁ,PA,CAPOEIRAS - ZONA RURAL,0.476,243,0.514,0.42,0.029,0.029,0.066,0.58
4839,MARABÁ,PA,CIDADE NOVA,0.449,2552,0.276,0.647,0.036,0.036,0.078,0.354
4839,MARABÁ,PA,SÃO MIGUEL DA CONQUISTA,0.446,570,0.4,0.526,0.028,0.044,0.074,0.474
4839,MARABÁ,PA,AEROPORTO,0.384,730,0.429,0.523,0.033,0.015,0.048,0.477
4839,MARABÁ,PA,REGIAO DO TAPIRAPÉ - ZONA RURAL,0.3,716,0.366,0.591,0.027,0.01,0.044,0.41
