TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
56162,SÃO ROQUE DO CANAÃ,ES,SANTA JÚLIA,0.531,918,0.414,0.5,0.054,0.024,0.086,0.5
56162,SÃO ROQUE DO CANAÃ,ES,VILA VERDE,0.509,3394,0.385,0.552,0.031,0.023,0.062,0.447
56162,SÃO ROQUE DO CANAÃ,ES,SÃO JACINTO,0.503,724,0.456,0.472,0.041,0.019,0.07,0.526
56162,SÃO ROQUE DO CANAÃ,ES,SÃO DALMÁCIO,0.486,343,0.539,0.402,0.032,0.023,0.058,0.597
56162,SÃO ROQUE DO CANAÃ,ES,AGROVILA,0.437,374,0.385,0.532,0.045,0.024,0.083,0.468
56162,SÃO ROQUE DO CANAÃ,ES,SÃO ROQUINHO,0.417,1075,0.379,0.559,0.034,0.024,0.062,0.441
56162,SÃO ROQUE DO CANAÃ,ES,SÃO FRANCISCO,0.295,584,0.375,0.58,0.022,0.01,0.043,0.418
