TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
34495,CATU,BA,BARÃO DE CAMAÇARI,0.854,5959,0.794,0.15,0.021,0.027,0.056,0.85
34495,CATU,BA,BOA VISTA,0.845,5042,0.764,0.175,0.024,0.029,0.061,0.825
34495,CATU,BA,RUA NOVA,0.84,4625,0.74,0.193,0.026,0.03,0.066,0.806
34495,CATU,BA,BOM VIVER,0.837,723,0.786,0.122,0.036,0.04,0.093,0.879
34495,CATU,BA,PIONEIRO,0.796,2995,0.716,0.218,0.027,0.03,0.066,0.782
34495,CATU,BA,POVOADO PAU LAVRADO,0.785,2280,0.83,0.122,0.017,0.022,0.047,0.877
34495,CATU,BA,PLANALTO I,0.777,1657,0.728,0.201,0.025,0.031,0.071,0.799
34495,CATU,BA,CHESF,0.749,1187,0.703,0.221,0.024,0.035,0.075,0.778
34495,CATU,BA,DISTRITO BELA FLOR,0.744,895,0.849,0.102,0.017,0.025,0.05,0.899
34495,CATU,BA,PLANALTO II,0.742,1430,0.71,0.222,0.022,0.033,0.068,0.778
34495,CATU,BA,DISTRITO SÍTIO NOVO,0.739,1254,0.696,0.232,0.028,0.033,0.073,0.769
34495,CATU,BA,SANTA RITA,0.729,1350,0.758,0.186,0.018,0.028,0.057,0.815
34495,CATU,BA,POVOADO FAZENDA PANELAS,0.725,221,0.76,0.154,0.041,0.014,0.087,0.847
34495,CATU,BA,DISTRITO DE PEDRAS,0.689,330,0.888,0.067,0.024,0.018,0.045,0.933
34495,CATU,BA,CENTRO,0.683,704,0.736,0.203,0.021,0.034,0.06,0.796
34495,CATU,BA,GRAVITO,0.66,530,0.76,0.185,0.011,0.03,0.055,0.815
