TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
82490,PETROLÂNDIA,SC,CENTRO,0.373,2404,0.218,0.716,0.045,0.011,0.066,0.284
82490,PETROLÂNDIA,SC,INDAIÁ,0.321,466,0.165,0.745,0.064,0.011,0.089,0.254
82490,PETROLÂNDIA,SC,ALTO BARRA NOVA,0.293,438,0.381,0.573,0.034,0.005,0.046,0.427
82490,PETROLÂNDIA,SC,RIO ANTINHAS,0.231,746,0.141,0.804,0.04,0.009,0.054,0.195
82490,PETROLÂNDIA,SC,BARRA NOVA,0.162,478,0.186,0.772,0.031,0.004,0.041,0.227
