TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
81027,CAPIVARI DE BAIXO,SC,CENTRO,0.545,7275,0.327,0.596,0.039,0.021,0.077,0.404
81027,CAPIVARI DE BAIXO,SC,VILA FLOR,0.53,1755,0.369,0.546,0.054,0.021,0.086,0.455
81027,CAPIVARI DE BAIXO,SC,CAÇADOR,0.417,1773,0.308,0.623,0.036,0.022,0.07,0.378
81027,CAPIVARI DE BAIXO,SC,ALVORADA,0.415,1477,0.318,0.611,0.042,0.019,0.071,0.389
81027,CAPIVARI DE BAIXO,SC,ILHOTINHA,0.396,634,0.47,0.487,0.021,0.009,0.043,0.513
81027,CAPIVARI DE BAIXO,SC,SANTO ANTÔNIO,0.391,996,0.282,0.638,0.042,0.021,0.08,0.362
