TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
46434,ITAGUARA,MG,CENTRO,0.71,3191,0.41,0.457,0.069,0.043,0.133,0.543
46434,ITAGUARA,MG,ZONA RURAL,0.695,437,0.563,0.314,0.069,0.027,0.123,0.686
46434,ITAGUARA,MG,LIBERDADE,0.665,929,0.493,0.398,0.041,0.047,0.109,0.602
46434,ITAGUARA,MG,LINDORIFO PRATA LIMA,0.624,96,0.646,0.26,0.042,0.031,0.094,0.74
46434,ITAGUARA,MG,SAO VICENTE,0.622,938,0.415,0.454,0.064,0.046,0.131,0.546
46434,ITAGUARA,MG,NOGUEIRAS,0.599,1101,0.385,0.486,0.063,0.045,0.13,0.515
46434,ITAGUARA,MG,NOVO DIAS,0.571,870,0.459,0.455,0.041,0.029,0.085,0.544
46434,ITAGUARA,MG,povoado de aroeiras,0.487,167,0.431,0.467,0.078,0.018,0.102,0.533
46434,ITAGUARA,MG,POVOADO DE PARA DOS VILELAS,0.449,347,0.415,0.507,0.061,0.009,0.079,0.494
