TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
88315,ROSÁRIO DO SUL,RS,CENTRO,0.697,13273,0.481,0.447,0.037,0.028,0.072,0.553
88315,ROSÁRIO DO SUL,RS,ANA LUiZA,0.652,1955,0.628,0.32,0.035,0.014,0.054,0.682
88315,ROSÁRIO DO SUL,RS,PRIMAVERA,0.63,2198,0.627,0.324,0.027,0.02,0.047,0.674
88315,ROSÁRIO DO SUL,RS,MONTE,0.625,963,0.49,0.418,0.051,0.032,0.091,0.581
88315,ROSÁRIO DO SUL,RS,CENTENARIO,0.62,1064,0.607,0.332,0.045,0.014,0.061,0.668
88315,ROSÁRIO DO SUL,RS,LAGOA,0.611,1393,0.615,0.332,0.027,0.02,0.053,0.668
88315,ROSÁRIO DO SUL,RS,ADROALDO,0.591,1237,0.524,0.41,0.038,0.025,0.067,0.591
88315,ROSÁRIO DO SUL,RS,SEXTO DISTRITO,0.589,137,0.606,0.307,0.058,0.022,0.087,0.693
88315,ROSÁRIO DO SUL,RS,TERCEIRO DISTRITO,0.578,388,0.495,0.412,0.046,0.044,0.093,0.588
88315,ROSÁRIO DO SUL,RS,ADROALDO RODRIGUES,0.409,396,0.449,0.492,0.025,0.03,0.058,0.507
