TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
58670,NOVA FRIBURGO,RJ,CENTRO,0.703,14161,0.391,0.503,0.052,0.043,0.105,0.496
58670,NOVA FRIBURGO,RJ,CÔNEGO,0.681,4921,0.388,0.504,0.051,0.044,0.11,0.498
58670,NOVA FRIBURGO,RJ,VILAGE,0.665,2812,0.401,0.486,0.052,0.051,0.113,0.514
58670,NOVA FRIBURGO,RJ,CORDOEIRA,0.663,2859,0.444,0.464,0.039,0.041,0.091,0.535
58670,NOVA FRIBURGO,RJ,YPU,0.663,3120,0.418,0.482,0.05,0.037,0.099,0.517
58670,NOVA FRIBURGO,RJ,OLARIA,0.656,17462,0.372,0.535,0.044,0.037,0.093,0.465
58670,NOVA FRIBURGO,RJ,VILA AMÉLIA,0.648,2500,0.421,0.48,0.05,0.041,0.099,0.52
58670,NOVA FRIBURGO,RJ,BRAUNES,0.636,1716,0.403,0.48,0.064,0.037,0.118,0.521
58670,NOVA FRIBURGO,RJ,SÃO GERALDO,0.626,3730,0.364,0.532,0.048,0.044,0.103,0.467
58670,NOVA FRIBURGO,RJ,MURY,0.623,3354,0.395,0.513,0.043,0.038,0.091,0.486
58670,NOVA FRIBURGO,RJ,CATARCIONE,0.615,2216,0.392,0.506,0.042,0.047,0.102,0.494
58670,NOVA FRIBURGO,RJ,CONSELHEIRO PAULINO,0.611,11748,0.34,0.57,0.043,0.034,0.09,0.43
58670,NOVA FRIBURGO,RJ,VARGINHA,0.61,1960,0.361,0.515,0.064,0.048,0.125,0.486
58670,NOVA FRIBURGO,RJ,CHACARA DO PARAISO,0.61,3069,0.355,0.54,0.05,0.046,0.106,0.461
58670,NOVA FRIBURGO,RJ,LUMIAR,0.609,2350,0.444,0.477,0.033,0.037,0.079,0.523
58670,NOVA FRIBURGO,RJ,PRADO,0.599,5199,0.348,0.561,0.043,0.035,0.091,0.439
58670,NOVA FRIBURGO,RJ,JARDIM OURO PRETO,0.594,2407,0.366,0.532,0.057,0.029,0.102,0.468
58670,NOVA FRIBURGO,RJ,RIOGRANDINA,0.592,3027,0.375,0.536,0.05,0.029,0.09,0.465
58670,NOVA FRIBURGO,RJ,CASCATINHA,0.59,1230,0.378,0.5,0.052,0.055,0.122,0.5
58670,NOVA FRIBURGO,RJ,AMPARO,0.586,2878,0.388,0.528,0.044,0.032,0.085,0.473
58670,NOVA FRIBURGO,RJ,DUAS PEDRAS,0.582,2069,0.38,0.523,0.046,0.038,0.096,0.476
58670,NOVA FRIBURGO,RJ,PONTE DA SAUDADE,0.581,931,0.392,0.49,0.059,0.052,0.118,0.51
58670,NOVA FRIBURGO,RJ,SÃO PEDRO DA SERRA,0.559,1400,0.472,0.459,0.026,0.034,0.069,0.541
58670,NOVA FRIBURGO,RJ,JARDIM CALIFÓRNIA,0.516,2193,0.338,0.574,0.041,0.033,0.086,0.424
58670,NOVA FRIBURGO,RJ,RIO BONITO,0.515,421,0.439,0.473,0.05,0.031,0.088,0.527
58670,NOVA FRIBURGO,RJ,NOVA SUIÇA,0.503,1478,0.367,0.551,0.035,0.039,0.082,0.449
58670,NOVA FRIBURGO,RJ,CAMPO DO COELHO,0.49,2419,0.33,0.592,0.037,0.029,0.078,0.408
58670,NOVA FRIBURGO,RJ,PARQUE MARIA TERESA,0.479,789,0.333,0.564,0.044,0.042,0.102,0.435
58670,NOVA FRIBURGO,RJ,TINGLY,0.473,181,0.403,0.492,0.039,0.05,0.107,0.51
58670,NOVA FRIBURGO,RJ,CORREGO DANTAS,0.462,943,0.337,0.573,0.041,0.038,0.089,0.426
58670,NOVA FRIBURGO,RJ,MACAÉ DE CIMA,0.459,237,0.477,0.451,0.042,0.021,0.071,0.548
58670,NOVA FRIBURGO,RJ,STUCKY,0.442,398,0.352,0.553,0.04,0.05,0.096,0.448
58670,NOVA FRIBURGO,RJ,JANELA DAS ANDORINHAS,0.392,178,0.281,0.579,0.028,0.112,0.14,0.421
58670,NOVA FRIBURGO,RJ,CONQUISTA,0.388,1608,0.248,0.677,0.029,0.039,0.075,0.323
58670,NOVA FRIBURGO,RJ,GRANJA SPINELLI,0.374,328,0.412,0.527,0.034,0.018,0.061,0.473
58670,NOVA FRIBURGO,RJ,BOA ESPERANÇA,0.372,533,0.268,0.644,0.053,0.023,0.09,0.358
58670,NOVA FRIBURGO,RJ,CARDINOT,0.369,259,0.336,0.579,0.05,0.035,0.085,0.421
58670,NOVA FRIBURGO,RJ,VARGEM ALTA,0.343,768,0.255,0.668,0.038,0.027,0.076,0.331
58670,NOVA FRIBURGO,RJ,GALDINÓPOLIS,0.342,182,0.401,0.533,0.038,0.027,0.065,0.466
58670,NOVA FRIBURGO,RJ,SÃO LOURENÇO,0.326,490,0.231,0.686,0.055,0.02,0.083,0.314
58670,NOVA FRIBURGO,RJ,PILÕES,0.259,246,0.439,0.533,0.016,0.008,0.028,0.467
58670,NOVA FRIBURGO,RJ,BARRACÃO DOS MENDES,0.253,540,0.233,0.707,0.03,0.024,0.06,0.293
58670,NOVA FRIBURGO,RJ,SANTA CRUZ,0.221,698,0.205,0.744,0.014,0.027,0.05,0.255
58670,NOVA FRIBURGO,RJ,SALINAS,0.196,750,0.193,0.764,0.019,0.023,0.043,0.236
