TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
63355,CHARQUEADA,SP,PARQUE RESIDENCIAL ALVORADA I,0.448,1312,0.441,0.508,0.029,0.016,0.051,0.492
63355,CHARQUEADA,SP,CENTRO,0.433,970,0.281,0.623,0.059,0.033,0.096,0.377
63355,CHARQUEADA,SP,VILA SANTA HELENA,0.392,1624,0.228,0.693,0.052,0.02,0.079,0.307
63355,CHARQUEADA,SP,JARDIM VISTA ALEGRE,0.375,1090,0.319,0.616,0.036,0.02,0.066,0.385
63355,CHARQUEADA,SP,JARDIM MARUSSIG,0.359,1504,0.25,0.683,0.028,0.028,0.068,0.318
63355,CHARQUEADA,SP,JARDIM BANDEIRANTES,0.354,725,0.302,0.626,0.039,0.023,0.071,0.373
63355,CHARQUEADA,SP,PARAISOLÂNDIA,0.326,1008,0.303,0.64,0.032,0.021,0.058,0.361
63355,CHARQUEADA,SP,RECREIO,0.303,728,0.239,0.694,0.034,0.021,0.067,0.306
63355,CHARQUEADA,SP,RESIDENCIAL SANTA LUZIA,0.284,938,0.264,0.68,0.033,0.019,0.055,0.319
