TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
42692,CARBONITA,MG,CENTRO,0.687,3070,0.61,0.333,0.02,0.029,0.057,0.667
42692,CARBONITA,MG,ABADIA,0.646,206,0.675,0.243,0.015,0.058,0.083,0.758
42692,CARBONITA,MG,POVOADO MERCADINHO,0.613,178,0.713,0.219,0.017,0.045,0.068,0.781
42692,CARBONITA,MG,SANTANA,0.613,181,0.751,0.188,0.044,0.017,0.061,0.812
42692,CARBONITA,MG,ÁGUA BRANCA,0.586,1162,0.664,0.296,0.017,0.013,0.041,0.705
42692,CARBONITA,MG,RETIRO,0.562,95,0.811,0.147,0.0,0.032,0.043,0.854
42692,CARBONITA,MG,POVOADO MONTE BELO,0.514,211,0.711,0.246,0.009,0.028,0.042,0.753
42692,CARBONITA,MG,DOIS CORREGOS,0.414,141,0.596,0.362,0.014,0.021,0.042,0.638
42692,CARBONITA,MG,POVOADO LAGOA,0.395,154,0.649,0.331,0.006,0.006,0.018,0.667
