TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
36080,ITAGUAÇU DA BAHIA,BA,CENTRO,0.707,1854,0.772,0.186,0.011,0.018,0.043,0.815
36080,ITAGUAÇU DA BAHIA,BA,POVOADO CHAPADA DA ONÇA,0.696,233,0.863,0.082,0.013,0.034,0.056,0.919
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DE ALMAS,0.677,713,0.871,0.098,0.007,0.015,0.03,0.901
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DO MUNDINHO,0.677,571,0.897,0.075,0.012,0.012,0.028,0.925
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DE LAGES,0.676,676,0.907,0.074,0.007,0.009,0.019,0.926
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DO BARREIROS,0.658,981,0.858,0.128,0.003,0.005,0.013,0.871
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DO RIO VERDE I,0.631,659,0.81,0.158,0.008,0.024,0.032,0.842
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DO PONTAL,0.631,204,0.897,0.069,0.01,0.025,0.035,0.932
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DE NOVA VEREDA,0.629,329,0.918,0.07,0.003,0.006,0.012,0.93
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DO RIO VERDE II,0.617,432,0.863,0.118,0.002,0.007,0.018,0.881
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DE VÁRZEA GRANDE,0.612,562,0.788,0.176,0.009,0.014,0.035,0.823
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DO SERTÃO BONITO,0.587,164,0.927,0.067,0.0,0.006,0.006,0.933
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DE SÃO JOÃO,0.577,290,0.855,0.134,0.0,0.0,0.01,0.865
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DE TABATINGA,0.534,176,0.784,0.182,0.011,0.0,0.034,0.818
36080,ITAGUAÇU DA BAHIA,BA,POVOADO DE FORQUILHA,0.512,225,0.764,0.209,0.018,0.004,0.026,0.79
