TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
36617,JEQUIÉ,BA,DISTRITO ITAJURU,0.782,784,0.782,0.144,0.026,0.031,0.075,0.857
36617,JEQUIÉ,BA,JOAQUIM ROMÃO,0.78,18239,0.618,0.316,0.026,0.029,0.064,0.682
36617,JEQUIÉ,BA,KM-3,0.777,4213,0.71,0.233,0.022,0.024,0.057,0.767
36617,JEQUIÉ,BA,MANDACARU,0.776,8161,0.624,0.31,0.025,0.032,0.065,0.689
36617,JEQUIÉ,BA,POVOADO SANTA CLARA,0.769,204,0.73,0.147,0.059,0.059,0.123,0.853
36617,JEQUIÉ,BA,POVOADO RIO PRETO DO COSTA,0.767,291,0.784,0.127,0.024,0.041,0.088,0.872
36617,JEQUIÉ,BA,JEQUIEZINHO,0.765,28054,0.584,0.347,0.029,0.03,0.066,0.65
36617,JEQUIÉ,BA,POVOADO MORRO VERDE,0.741,94,0.745,0.138,0.064,0.053,0.117,0.862
36617,JEQUIÉ,BA,POVOADO FLORESTAL,0.74,942,0.653,0.259,0.049,0.02,0.088,0.741
36617,JEQUIÉ,BA,DISTRITO ITAIBÓ,0.737,215,0.716,0.177,0.051,0.028,0.107,0.823
36617,JEQUIÉ,BA,DISTRITO ORIENTE NOVO,0.725,320,0.872,0.072,0.013,0.022,0.057,0.929
36617,JEQUIÉ,BA,CURRAL NOVO,0.72,2536,0.666,0.275,0.028,0.025,0.059,0.725
36617,JEQUIÉ,BA,BAIXA DO BONFIM,0.715,1212,0.787,0.163,0.023,0.012,0.05,0.837
36617,JEQUIÉ,BA,CANSANÇÃO,0.709,3142,0.652,0.292,0.024,0.025,0.055,0.707
36617,JEQUIÉ,BA,KM 4,0.707,1423,0.734,0.212,0.025,0.025,0.055,0.789
36617,JEQUIÉ,BA,SÃO JUDAS TADEU,0.704,2383,0.536,0.381,0.039,0.037,0.082,0.618
36617,JEQUIÉ,BA,DISTRITO BAIXÃO,0.702,230,0.843,0.096,0.009,0.03,0.061,0.904
36617,JEQUIÉ,BA,AMARALINA,0.691,885,0.694,0.24,0.037,0.014,0.067,0.761
36617,JEQUIÉ,BA,POVOADO CAMPO LARGO,0.686,454,0.756,0.181,0.044,0.009,0.064,0.82
36617,JEQUIÉ,BA,KENNEDY,0.68,2008,0.624,0.314,0.028,0.025,0.061,0.685
36617,JEQUIÉ,BA,POVOADO MARCELA,0.676,346,0.801,0.142,0.023,0.02,0.057,0.858
36617,JEQUIÉ,BA,POVOADO LAGOA DANTAS,0.67,126,0.722,0.19,0.056,0.024,0.088,0.81
36617,JEQUIÉ,BA,CAMPO DO AMÉRICA,0.668,4095,0.497,0.433,0.026,0.036,0.07,0.567
36617,JEQUIÉ,BA,POVOADO NOVA ESPERANÇA,0.656,313,0.815,0.134,0.013,0.022,0.051,0.866
36617,JEQUIÉ,BA,POVOADO BARRAGEM DE PEDRA,0.648,399,0.734,0.206,0.015,0.038,0.061,0.795
36617,JEQUIÉ,BA,POVOADO FAZENDA VELHA,0.645,561,0.754,0.196,0.018,0.02,0.051,0.805
36617,JEQUIÉ,BA,POVOADO RIO DO ANTÔNIO,0.638,232,0.703,0.224,0.026,0.004,0.073,0.776
36617,JEQUIÉ,BA,POVOADO RIO DO MUTUM,0.633,160,0.869,0.088,0.013,0.013,0.045,0.914
36617,JEQUIÉ,BA,TROPICAL,0.631,730,0.803,0.164,0.005,0.011,0.032,0.835
36617,JEQUIÉ,BA,POVOADO DEUS DARÁ,0.631,119,0.765,0.168,0.025,0.008,0.067,0.832
36617,JEQUIÉ,BA,CENTRO,0.627,3144,0.446,0.477,0.033,0.037,0.077,0.523
36617,JEQUIÉ,BA,POVOADO VOLTA DO RIO,0.621,157,0.854,0.102,0.019,0.013,0.045,0.899
36617,JEQUIÉ,BA,DISTRITO BOAÇU,0.611,130,0.923,0.046,0.008,0.008,0.031,0.954
36617,JEQUIÉ,BA,POVOADO CAJUEIRO,0.609,382,0.859,0.12,0.005,0.01,0.02,0.879
36617,JEQUIÉ,BA,POMPÍLIO SAMPAIO,0.596,707,0.553,0.375,0.021,0.041,0.072,0.625
36617,JEQUIÉ,BA,POVOADO EMILIANO,0.577,376,0.721,0.234,0.019,0.003,0.047,0.768
36617,JEQUIÉ,BA,POVOADO LIMOEIRO,0.576,118,0.89,0.085,0.008,0.0,0.025,0.915
36617,JEQUIÉ,BA,POVOADO MONTE BRANCO,0.574,172,0.831,0.134,0.012,0.017,0.035,0.866
36617,JEQUIÉ,BA,POVOADO BARRA AVENIDA,0.553,188,0.84,0.138,0.0,0.016,0.021,0.861
36617,JEQUIÉ,BA,POVOADO TAMARINDO,0.546,304,0.803,0.181,0.0,0.013,0.016,0.819
36617,JEQUIÉ,BA,POVOADO FRISUBA,0.539,99,0.859,0.121,0.0,0.01,0.02,0.879
36617,JEQUIÉ,BA,POVOADO BOA VISTA,0.532,117,0.803,0.162,0.0,0.034,0.034,0.837
36617,JEQUIÉ,BA,POVOADO RIO DAS PEDRAS,0.527,95,0.842,0.137,0.0,0.0,0.021,0.863
36617,JEQUIÉ,BA,POVOADO SANTA RITA,0.517,102,0.804,0.167,0.01,0.02,0.03,0.834
