TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
88536,SANTO ÂNGELO,RS,PIPPI,0.679,4354,0.489,0.437,0.035,0.031,0.074,0.563
88536,SANTO ÂNGELO,RS,CENTRO,0.66,18169,0.383,0.527,0.04,0.04,0.09,0.473
88536,SANTO ÂNGELO,RS,OLIVEIRA,0.613,2028,0.463,0.458,0.039,0.027,0.078,0.541
88536,SANTO ÂNGELO,RS,SÃO CARLOS,0.609,618,0.523,0.392,0.04,0.039,0.085,0.608
88536,SANTO ÂNGELO,RS,ALIANÇA,0.601,1608,0.505,0.425,0.032,0.029,0.069,0.574
88536,SANTO ÂNGELO,RS,DYTZ,0.599,1687,0.532,0.407,0.031,0.023,0.062,0.594
88536,SANTO ÂNGELO,RS,PRIMEIRO DISTRITO,0.598,190,0.584,0.326,0.053,0.037,0.09,0.674
88536,SANTO ÂNGELO,RS,HORTÊNCIA,0.595,1828,0.501,0.434,0.034,0.025,0.066,0.567
88536,SANTO ÂNGELO,RS,ROGOWSKI,0.58,831,0.538,0.394,0.035,0.023,0.068,0.606
88536,SANTO ÂNGELO,RS,INTERIOR - COLÔNIA MUNICIPAL TRÊS SINOS,0.574,527,0.45,0.45,0.072,0.023,0.101,0.551
88536,SANTO ÂNGELO,RS,KURTZ,0.573,565,0.483,0.43,0.044,0.039,0.087,0.57
88536,SANTO ÂNGELO,RS,PIRATINI,0.571,1350,0.562,0.384,0.024,0.023,0.053,0.615
88536,SANTO ÂNGELO,RS,HALLER,0.569,964,0.488,0.438,0.033,0.033,0.074,0.562
88536,SANTO ÂNGELO,RS,GEIS,0.556,1072,0.586,0.366,0.023,0.021,0.049,0.635
88536,SANTO ÂNGELO,RS,BRAGA,0.556,589,0.565,0.374,0.024,0.024,0.062,0.627
88536,SANTO ÂNGELO,RS,CENTRO NORTE,0.545,2873,0.391,0.536,0.033,0.031,0.072,0.463
88536,SANTO ÂNGELO,RS,INTERIOR,0.545,1991,0.393,0.527,0.043,0.029,0.08,0.473
88536,SANTO ÂNGELO,RS,GARIBALDI CARREIRA MACHADO,0.544,742,0.62,0.334,0.019,0.023,0.046,0.666
88536,SANTO ÂNGELO,RS,SOSSEGO,0.542,889,0.499,0.434,0.028,0.033,0.066,0.565
88536,SANTO ÂNGELO,RS,JOSE ALCEBIADES DE OLIVEIRA,0.54,571,0.55,0.389,0.033,0.021,0.061,0.611
88536,SANTO ÂNGELO,RS,INTERIOR - DISTRITO UNIÃO,0.534,154,0.481,0.416,0.058,0.032,0.103,0.584
88536,SANTO ÂNGELO,RS,DIDO,0.514,838,0.469,0.463,0.039,0.024,0.067,0.536
88536,SANTO ÂNGELO,RS,COHAB,0.482,310,0.429,0.484,0.029,0.042,0.086,0.515
88536,SANTO ÂNGELO,RS,MÁRIO PILAU,0.473,311,0.659,0.309,0.013,0.016,0.032,0.691
88536,SANTO ÂNGELO,RS,UNIVERSITARIO,0.44,620,0.395,0.534,0.037,0.024,0.072,0.467
88536,SANTO ÂNGELO,RS,INTERIOR - BURITI,0.242,125,0.48,0.504,0.008,0.008,0.016,0.496
