TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
92118,ALTO PARAÍSO DE GOIÁS,GO,CENTRO,0.689,2436,0.594,0.342,0.023,0.032,0.065,0.659
92118,ALTO PARAÍSO DE GOIÁS,GO,DISTRITO DE SAO JORGE,0.671,462,0.76,0.18,0.019,0.028,0.059,0.819
92118,ALTO PARAÍSO DE GOIÁS,GO,ZONA RURAL,0.666,407,0.624,0.287,0.039,0.037,0.088,0.712
92118,ALTO PARAÍSO DE GOIÁS,GO,SETOR PARAISINHO,0.633,1722,0.55,0.385,0.03,0.023,0.066,0.616
92118,ALTO PARAÍSO DE GOIÁS,GO,POVOADO DO MOINHO,0.311,133,0.496,0.466,0.008,0.015,0.038,0.534
