TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
74322,FAZENDA RIO GRANDE,PR,ESTADOS,0.692,6238,0.429,0.479,0.05,0.029,0.091,0.52
74322,FAZENDA RIO GRANDE,PR,NAÇÕES,0.672,13695,0.389,0.518,0.047,0.033,0.093,0.482
74322,FAZENDA RIO GRANDE,PR,IGUAÇU,0.671,8666,0.388,0.515,0.05,0.031,0.096,0.484
74322,FAZENDA RIO GRANDE,PR,GRALHA AZUL,0.653,4340,0.387,0.512,0.048,0.037,0.1,0.487
74322,FAZENDA RIO GRANDE,PR,SANTA TEREZINHA,0.653,10192,0.409,0.51,0.039,0.029,0.081,0.49
74322,FAZENDA RIO GRANDE,PR,EUCALIPTOS,0.634,13511,0.353,0.554,0.047,0.031,0.093,0.446
74322,FAZENDA RIO GRANDE,PR,VENEZA,0.599,2971,0.394,0.517,0.046,0.024,0.086,0.48
74322,FAZENDA RIO GRANDE,PR,PIONEIROS,0.527,2335,0.332,0.577,0.049,0.022,0.09,0.422
74322,FAZENDA RIO GRANDE,PR,PASSO AMARELO,0.372,361,0.341,0.582,0.05,0.019,0.078,0.419
