TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
38938,SÁTIRO DIAS,BA,CENTRO,0.838,4418,0.754,0.182,0.02,0.032,0.063,0.817
38938,SÁTIRO DIAS,BA,POVOADO ARRAIAL SANTANA,0.743,548,0.595,0.27,0.06,0.053,0.135,0.73
38938,SÁTIRO DIAS,BA,DISTRITO DE BELA VISTA,0.733,741,0.752,0.179,0.011,0.038,0.069,0.821
38938,SÁTIRO DIAS,BA,POVOADO ASSENTAMENTO PAPAGAIO,0.724,174,0.741,0.161,0.011,0.069,0.097,0.838
38938,SÁTIRO DIAS,BA,DISTRITO DE MIMOSO,0.724,998,0.814,0.136,0.012,0.026,0.05,0.864
38938,SÁTIRO DIAS,BA,POVOADO DE MULUNGU,0.647,151,0.815,0.126,0.0,0.046,0.059,0.874
38938,SÁTIRO DIAS,BA,POVOADO JUREMA,0.644,207,0.87,0.087,0.005,0.034,0.044,0.914
38938,SÁTIRO DIAS,BA,POVOADO PAU DE LEITE,0.642,205,0.815,0.132,0.015,0.024,0.054,0.869
38938,SÁTIRO DIAS,BA,POVOADO POCINHOS,0.641,277,0.823,0.13,0.007,0.029,0.047,0.87
38938,SÁTIRO DIAS,BA,POVOADO SANTA RITA,0.623,242,0.946,0.041,0.004,0.004,0.012,0.958
38938,SÁTIRO DIAS,BA,POVOADO PAPAGAIO,0.619,199,0.834,0.121,0.01,0.02,0.045,0.879
38938,SÁTIRO DIAS,BA,POVOADO DE TERRA VERMELHA,0.619,285,0.681,0.253,0.025,0.025,0.068,0.749
38938,SÁTIRO DIAS,BA,POVOADO ESBARRE,0.617,379,0.847,0.124,0.003,0.018,0.029,0.876
38938,SÁTIRO DIAS,BA,POVOADO BAIXA PRETA DO SENA,0.608,148,0.892,0.074,0.007,0.027,0.034,0.926
38938,SÁTIRO DIAS,BA,POVOADO BARRA,0.571,162,0.864,0.111,0.006,0.0,0.025,0.889
38938,SÁTIRO DIAS,BA,POVOADO BEIJA-FLOR,0.56,230,0.778,0.183,0.017,0.013,0.039,0.817
38938,SÁTIRO DIAS,BA,POVOADO BAIXA PRETA,0.543,123,0.862,0.122,0.008,0.0,0.016,0.878
38938,SÁTIRO DIAS,BA,POVOADO COLÔNIA BOA VISTA,0.526,301,0.684,0.272,0.0,0.02,0.044,0.728
