TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
62391,BOITUVA,SP,PARQUE RES.NOVO MUNDO,0.606,3677,0.457,0.477,0.036,0.017,0.066,0.523
62391,BOITUVA,SP,CENTRO,0.554,5302,0.283,0.619,0.057,0.028,0.096,0.379
62391,BOITUVA,SP,VILA GINASIAL,0.544,6214,0.302,0.614,0.043,0.029,0.085,0.387
62391,BOITUVA,SP,BAIRRO PAU D'ALHO,0.524,4824,0.241,0.662,0.056,0.03,0.097,0.338
62391,BOITUVA,SP,CIDADE JARDIM,0.523,2099,0.318,0.585,0.047,0.032,0.097,0.415
62391,BOITUVA,SP,RESIDENCIAL DE LORENZI,0.506,2641,0.278,0.627,0.057,0.028,0.096,0.374
62391,BOITUVA,SP,PARQUE NOSSA SENHORA DAS GRACAS,0.499,1997,0.321,0.594,0.042,0.027,0.088,0.409
62391,BOITUVA,SP,RESIDENCIAL PRIMO,0.497,2883,0.3,0.615,0.044,0.028,0.084,0.384
62391,BOITUVA,SP,PARQUE RESIDENCIAL ESPLANADA,0.495,1752,0.344,0.575,0.041,0.025,0.083,0.427
62391,BOITUVA,SP,JARDIM ANTONIO VESTENA MOSCHIONI,0.487,1103,0.354,0.558,0.048,0.026,0.088,0.442
62391,BOITUVA,SP,JARDIM SAO PAULO,0.44,889,0.368,0.557,0.038,0.027,0.074,0.442
