TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
19,GUAJARÁ-MIRIM,RO,ALDEIA RIO NEGRO OCAIA,0.66,401,0.968,0.02,0.002,0.0,0.012,0.98
19,GUAJARÁ-MIRIM,RO,ALDEIA SANTO ANDRE,0.583,304,0.806,0.161,0.0,0.03,0.033,0.839
19,GUAJARÁ-MIRIM,RO,ALDEIA RICARDO FRANCO,0.582,91,0.956,0.033,0.0,0.011,0.011,0.967
19,GUAJARÁ-MIRIM,RO,RESERVA RIO ORO PRETO - POMPEU,0.554,156,0.564,0.353,0.032,0.026,0.084,0.648
19,GUAJARÁ-MIRIM,RO,CENTRO,0.535,2776,0.385,0.542,0.04,0.025,0.072,0.457
19,GUAJARÁ-MIRIM,RO,SAO JOSE,0.448,1908,0.308,0.615,0.048,0.02,0.077,0.385
19,GUAJARÁ-MIRIM,RO,DISTRITO DE SURPRESA,0.445,738,0.57,0.404,0.011,0.011,0.026,0.596
19,GUAJARÁ-MIRIM,RO,SERRARIA,0.443,1780,0.276,0.639,0.054,0.025,0.085,0.361
19,GUAJARÁ-MIRIM,RO,PROSPERO,0.434,2358,0.311,0.62,0.045,0.015,0.068,0.379
19,GUAJARÁ-MIRIM,RO,CAETANO,0.42,1579,0.239,0.674,0.039,0.034,0.087,0.326
19,GUAJARÁ-MIRIM,RO,JARDIM DAS ESMERALDAS,0.404,1441,0.348,0.59,0.038,0.017,0.062,0.41
19,GUAJARÁ-MIRIM,RO,10 DE ABRIL,0.401,2762,0.255,0.678,0.034,0.025,0.066,0.321
19,GUAJARÁ-MIRIM,RO,TAMANDARE,0.4,1921,0.277,0.653,0.041,0.02,0.07,0.347
19,GUAJARÁ-MIRIM,RO,SANTA LUZIA,0.37,1677,0.323,0.623,0.033,0.014,0.056,0.379
19,GUAJARÁ-MIRIM,RO,DISTRITO DO IATA,0.319,497,0.414,0.543,0.03,0.008,0.042,0.456
19,GUAJARÁ-MIRIM,RO,RAMAL CACHOEIRINHA,0.136,166,0.331,0.639,0.024,0.006,0.03,0.361
