TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
58971,SÃO GONÇALO,RJ,NEVES,0.751,6948,0.512,0.405,0.04,0.032,0.083,0.595
58971,SÃO GONÇALO,RJ,COVANCA,0.723,5031,0.484,0.431,0.04,0.035,0.086,0.57
58971,SÃO GONÇALO,RJ,PATRONATO,0.709,13733,0.447,0.469,0.039,0.036,0.085,0.532
58971,SÃO GONÇALO,RJ,BARRO VERMELHO,0.706,13919,0.467,0.457,0.036,0.03,0.078,0.545
58971,SÃO GONÇALO,RJ,ZE GAROTO,0.702,13594,0.44,0.475,0.038,0.036,0.085,0.525
58971,SÃO GONÇALO,RJ,ITAOCA,0.697,1869,0.591,0.337,0.04,0.026,0.073,0.664
58971,SÃO GONÇALO,RJ,VILA LAGE,0.695,7741,0.47,0.451,0.037,0.033,0.077,0.547
58971,SÃO GONÇALO,RJ,PARAISO,0.681,15417,0.452,0.472,0.031,0.034,0.075,0.527
58971,SÃO GONÇALO,RJ,BRASILÂNDIA,0.677,17550,0.447,0.477,0.033,0.034,0.075,0.522
58971,SÃO GONÇALO,RJ,VENDA DA CRUZ,0.676,7145,0.472,0.454,0.032,0.032,0.072,0.544
58971,SÃO GONÇALO,RJ,MUTUA,0.67,12328,0.429,0.491,0.036,0.033,0.079,0.508
58971,SÃO GONÇALO,RJ,CENTRO,0.667,8502,0.423,0.494,0.038,0.035,0.082,0.505
58971,SÃO GONÇALO,RJ,ITAÚNA,0.663,12147,0.476,0.457,0.029,0.028,0.065,0.541
58971,SÃO GONÇALO,RJ,PONTE PARAGUAI,0.662,3115,0.486,0.439,0.038,0.028,0.076,0.562
58971,SÃO GONÇALO,RJ,ENGENHO PEQUENO,0.661,7828,0.463,0.467,0.034,0.026,0.07,0.533
58971,SÃO GONÇALO,RJ,PAIVA,0.657,3033,0.483,0.441,0.033,0.035,0.076,0.559
58971,SÃO GONÇALO,RJ,ARSENAL,0.657,10346,0.419,0.501,0.035,0.032,0.079,0.498
58971,SÃO GONÇALO,RJ,PORTO DO ROSA,0.656,11447,0.446,0.483,0.031,0.031,0.071,0.517
58971,SÃO GONÇALO,RJ,GRADIM,0.653,4912,0.46,0.466,0.033,0.03,0.073,0.533
58971,SÃO GONÇALO,RJ,BOAÇU,0.65,12517,0.416,0.507,0.037,0.029,0.077,0.493
58971,SÃO GONÇALO,RJ,ROCHA,0.649,7135,0.43,0.495,0.037,0.028,0.076,0.506
58971,SÃO GONÇALO,RJ,FAZENDA DOS MINEIROS,0.649,4448,0.498,0.436,0.029,0.027,0.064,0.562
58971,SÃO GONÇALO,RJ,PORTO VELHO,0.647,1446,0.481,0.427,0.04,0.043,0.092,0.573
58971,SÃO GONÇALO,RJ,NOVA CIDADE,0.642,9412,0.407,0.514,0.035,0.033,0.079,0.486
58971,SÃO GONÇALO,RJ,JOCKEY CLUB,0.64,6807,0.446,0.484,0.028,0.033,0.07,0.516
58971,SÃO GONÇALO,RJ,PACHECO,0.639,8513,0.416,0.508,0.035,0.031,0.076,0.492
58971,SÃO GONÇALO,RJ,SANTA LUZIA,0.635,13419,0.412,0.514,0.034,0.029,0.074,0.486
58971,SÃO GONÇALO,RJ,JARDIM CATARINA,0.634,24057,0.418,0.51,0.029,0.033,0.071,0.489
58971,SÃO GONÇALO,RJ,MUTONDO,0.634,5760,0.423,0.501,0.037,0.03,0.076,0.499
58971,SÃO GONÇALO,RJ,COELHO,0.632,10938,0.401,0.522,0.036,0.03,0.077,0.478
58971,SÃO GONÇALO,RJ,MUTUÁ,0.631,6162,0.429,0.497,0.036,0.029,0.073,0.502
58971,SÃO GONÇALO,RJ,PORTO DA MADAMA,0.63,2166,0.487,0.438,0.034,0.034,0.075,0.562
58971,SÃO GONÇALO,RJ,ALMERINDA,0.627,3741,0.424,0.496,0.032,0.037,0.08,0.504
58971,SÃO GONÇALO,RJ,SACRAMENTO,0.626,9102,0.436,0.497,0.031,0.026,0.067,0.503
58971,SÃO GONÇALO,RJ,COLUBANDE,0.626,18974,0.386,0.535,0.033,0.034,0.078,0.464
58971,SÃO GONÇALO,RJ,TRINDADE,0.625,24716,0.401,0.527,0.032,0.031,0.073,0.474
58971,SÃO GONÇALO,RJ,SANTA ISABEL,0.625,13521,0.417,0.512,0.033,0.027,0.07,0.487
58971,SÃO GONÇALO,RJ,TRIBOBO,0.623,8077,0.41,0.516,0.03,0.033,0.074,0.484
58971,SÃO GONÇALO,RJ,GALO BRANCO,0.619,12758,0.412,0.518,0.033,0.026,0.07,0.482
58971,SÃO GONÇALO,RJ,MARIA PAULA,0.618,5274,0.398,0.522,0.037,0.033,0.08,0.478
58971,SÃO GONÇALO,RJ,LINDO PARQUE,0.612,3618,0.437,0.488,0.035,0.031,0.073,0.51
58971,SÃO GONÇALO,RJ,VISTA ALEGRE,0.607,9682,0.373,0.548,0.035,0.031,0.079,0.452
58971,SÃO GONÇALO,RJ,AMENDOEIRA,0.605,13296,0.39,0.537,0.032,0.03,0.072,0.462
58971,SÃO GONÇALO,RJ,PORTO NOVO,0.603,3033,0.44,0.486,0.036,0.029,0.073,0.513
58971,SÃO GONÇALO,RJ,RIO DO OURO,0.598,9338,0.39,0.538,0.034,0.027,0.072,0.462
58971,SÃO GONÇALO,RJ,ALCÂNTARA,0.598,12634,0.364,0.558,0.036,0.032,0.078,0.442
58971,SÃO GONÇALO,RJ,MIRIAMBI,0.591,4542,0.399,0.526,0.034,0.031,0.074,0.473
58971,SÃO GONÇALO,RJ,SANTA CATARINA,0.588,1883,0.467,0.462,0.032,0.028,0.072,0.539
58971,SÃO GONÇALO,RJ,RAUL VEIGA,0.584,5259,0.387,0.538,0.04,0.027,0.074,0.461
58971,SÃO GONÇALO,RJ,LARANJAL,0.581,13037,0.368,0.56,0.032,0.029,0.072,0.44
58971,SÃO GONÇALO,RJ,MARAMBAIA,0.574,4887,0.41,0.524,0.026,0.032,0.066,0.476
58971,SÃO GONÇALO,RJ,SAO MIGUEL,0.572,3122,0.386,0.536,0.034,0.035,0.079,0.465
58971,SÃO GONÇALO,RJ,GUAXINDIBA,0.567,2757,0.443,0.491,0.028,0.026,0.065,0.508
58971,SÃO GONÇALO,RJ,NOVA ROMA,0.562,1702,0.502,0.439,0.024,0.029,0.059,0.561
58971,SÃO GONÇALO,RJ,MUTUAPIRA,0.555,1718,0.441,0.488,0.035,0.024,0.072,0.513
58971,SÃO GONÇALO,RJ,APOLO III,0.55,1388,0.425,0.497,0.03,0.034,0.079,0.504
