TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
70530,SANTA ROSA DE VITERBO,SP,CONJ HAB DELDUQUE RIB GARCIA I,0.647,1932,0.431,0.467,0.062,0.031,0.103,0.534
70530,SANTA ROSA DE VITERBO,SP,CENTRO,0.642,4223,0.375,0.523,0.063,0.029,0.101,0.476
70530,SANTA ROSA DE VITERBO,SP,MONTE ALTO,0.641,3527,0.388,0.51,0.053,0.036,0.1,0.488
70530,SANTA ROSA DE VITERBO,SP,CONJ HAB LILIANA URT ANDREAZZA I,0.633,2707,0.458,0.461,0.042,0.025,0.079,0.537
70530,SANTA ROSA DE VITERBO,SP,CONJ HAB JARDIM ADIB MOUSSA,0.597,971,0.444,0.459,0.059,0.033,0.097,0.541
70530,SANTA ROSA DE VITERBO,SP,BAIRRO DE NHUMIRIM,0.443,144,0.34,0.514,0.09,0.035,0.146,0.486
