TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
64750,GUARUJÁ,SP,VILA SANTA CLARA,0.747,6828,0.492,0.42,0.048,0.026,0.088,0.58
64750,GUARUJÁ,SP,SITIO PAECARA,0.745,25080,0.428,0.467,0.062,0.029,0.105,0.533
64750,GUARUJÁ,SP,PARQUE ESTUARIO,0.722,4213,0.413,0.463,0.071,0.036,0.125,0.538
64750,GUARUJÁ,SP,MORRINHOS,0.718,11795,0.423,0.478,0.055,0.031,0.098,0.521
64750,GUARUJÁ,SP,JARDIM PRIMAVERA,0.715,7223,0.432,0.471,0.052,0.032,0.097,0.529
64750,GUARUJÁ,SP,VILA ZILDA,0.715,5354,0.493,0.427,0.044,0.025,0.08,0.573
64750,GUARUJÁ,SP,BALNEARIO CIDADE ATLANTICA,0.711,7778,0.411,0.484,0.056,0.036,0.104,0.515
64750,GUARUJÁ,SP,CACHOEIRA,0.708,3717,0.52,0.403,0.049,0.02,0.077,0.597
64750,GUARUJÁ,SP,JARDIM BOA ESPERANCA,0.695,12497,0.389,0.508,0.058,0.03,0.103,0.492
64750,GUARUJÁ,SP,VILA ALICE,0.691,3575,0.396,0.48,0.074,0.036,0.123,0.519
64750,GUARUJÁ,SP,JARDIM CUNHAMBEBE,0.682,6033,0.382,0.508,0.057,0.04,0.109,0.491
64750,GUARUJÁ,SP,VILA AUREA,0.679,8368,0.394,0.509,0.052,0.033,0.097,0.491
64750,GUARUJÁ,SP,JARDIM PRAIANO,0.665,2483,0.505,0.419,0.041,0.025,0.077,0.582
64750,GUARUJÁ,SP,BALNEARIO PRAIA DO PERNAMBUCO,0.661,3816,0.431,0.483,0.044,0.03,0.088,0.519
64750,GUARUJÁ,SP,VILA SANTA ROSA,0.658,4024,0.358,0.519,0.075,0.033,0.123,0.481
64750,GUARUJÁ,SP,JARDIM PROGRESSO,0.656,2891,0.397,0.494,0.052,0.034,0.109,0.506
64750,GUARUJÁ,SP,LOTEAMENTO JOAO BATISTA JULIAO,0.655,3647,0.425,0.486,0.044,0.032,0.089,0.514
64750,GUARUJÁ,SP,SANTA CRUZ DOS NAVEGANTES,0.651,3182,0.415,0.491,0.046,0.039,0.095,0.51
64750,GUARUJÁ,SP,JARDIM MARAVILHA,0.648,4984,0.371,0.528,0.056,0.028,0.102,0.473
64750,GUARUJÁ,SP,JARDIM SAO MANOEL,0.646,3144,0.387,0.507,0.049,0.04,0.106,0.493
64750,GUARUJÁ,SP,JARDIM SAO MIGUEL,0.646,2613,0.453,0.461,0.047,0.028,0.085,0.538
64750,GUARUJÁ,SP,JARDIM SAO JOSE,0.643,3848,0.366,0.525,0.06,0.034,0.109,0.475
64750,GUARUJÁ,SP,BALNEARIO PRAIA DO PEREQUE,0.636,5936,0.417,0.505,0.04,0.024,0.078,0.495
64750,GUARUJÁ,SP,JARDIM TEJEREBA,0.635,4668,0.364,0.534,0.064,0.029,0.101,0.465
64750,GUARUJÁ,SP,VILA RA,0.63,3331,0.445,0.478,0.044,0.022,0.077,0.522
64750,GUARUJÁ,SP,PARQUE ENSEADA,0.63,1897,0.472,0.447,0.042,0.03,0.082,0.554
64750,GUARUJÁ,SP,VILA ALZIRA,0.618,4068,0.313,0.561,0.066,0.042,0.126,0.439
64750,GUARUJÁ,SP,JARDIM SANTA MARIA,0.613,3711,0.339,0.553,0.063,0.034,0.109,0.448
64750,GUARUJÁ,SP,JARDIM CONCEICAOZINHA,0.605,1790,0.465,0.456,0.035,0.028,0.078,0.543
64750,GUARUJÁ,SP,JARDIM HELENA MARIA,0.604,3620,0.33,0.56,0.055,0.04,0.11,0.44
64750,GUARUJÁ,SP,JARDIM BRASIL I,0.603,301,0.522,0.379,0.047,0.043,0.1,0.622
64750,GUARUJÁ,SP,JARDIM MAR E CEU,0.602,905,0.476,0.435,0.044,0.027,0.089,0.565
64750,GUARUJÁ,SP,CENTRO,0.575,4886,0.271,0.615,0.062,0.037,0.114,0.385
64750,GUARUJÁ,SP,JARDIM ASTURIAS,0.557,2973,0.312,0.585,0.054,0.035,0.102,0.414
64750,GUARUJÁ,SP,VILA JULIA,0.536,1338,0.344,0.548,0.053,0.04,0.107,0.451
64750,GUARUJÁ,SP,VILA MAIA,0.521,1888,0.298,0.594,0.055,0.041,0.109,0.407
