TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
77615,PIÊN,PR,MOSQUITO,0.527,155,0.49,0.413,0.077,0.013,0.096,0.586
77615,PIÊN,PR,GRAMADOS,0.429,574,0.286,0.606,0.073,0.019,0.108,0.394
77615,PIÊN,PR,CAMPINA DOS MAIA,0.422,633,0.31,0.599,0.068,0.008,0.092,0.402
77615,PIÊN,PR,CENTRO,0.419,2185,0.256,0.667,0.049,0.014,0.076,0.332
77615,PIÊN,PR,POCO FRIO,0.365,546,0.216,0.687,0.07,0.022,0.098,0.314
77615,PIÊN,PR,PONTE ALTA,0.354,341,0.331,0.592,0.041,0.015,0.077,0.408
77615,PIÊN,PR,TRIGOLANDIA,0.337,1504,0.274,0.667,0.042,0.01,0.059,0.333
77615,PIÊN,PR,CAMPO NOVO,0.328,434,0.318,0.613,0.06,0.002,0.069,0.387
77615,PIÊN,PR,LAGEADO DOS MARTINS,0.315,553,0.166,0.75,0.063,0.007,0.083,0.249
77615,PIÊN,PR,ATERRADO ALTO,0.308,180,0.344,0.583,0.061,0.011,0.072,0.416
77615,PIÊN,PR,QUICE,0.279,257,0.311,0.623,0.062,0.004,0.066,0.377
77615,PIÊN,PR,CAMPINA DOS CRESPINS,0.243,556,0.21,0.73,0.045,0.007,0.059,0.269
77615,PIÊN,PR,POCO FRIO DOS MOREIRAS,0.236,130,0.154,0.762,0.046,0.023,0.085,0.239
77615,PIÊN,PR,PALMITOS,0.143,217,0.161,0.788,0.046,0.005,0.051,0.212
77615,PIÊN,PR,FRAGOSOS,0.138,113,0.23,0.717,0.035,0.009,0.053,0.283
