TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
99015,COMODORO,MT,ZONA RURAL,0.517,2165,0.448,0.495,0.029,0.015,0.057,0.505
99015,COMODORO,MT,CIDADE VERDE,0.289,1137,0.361,0.606,0.012,0.011,0.033,0.394
99015,COMODORO,MT,JARDIM MATO GROSSO,0.285,1825,0.278,0.681,0.019,0.014,0.041,0.319
99015,COMODORO,MT,SÃO FRANCISCO,0.276,883,0.306,0.647,0.022,0.019,0.048,0.354
99015,COMODORO,MT,NOSSA SENHORA DE FÁTIMA,0.229,1336,0.241,0.722,0.018,0.01,0.037,0.278
99015,COMODORO,MT,NOVA VACARIA,0.225,1456,0.255,0.715,0.012,0.011,0.03,0.285
99015,COMODORO,MT,CENTRO,0.218,991,0.23,0.729,0.016,0.016,0.041,0.271
