TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
81450,IMBUIA,SC,ALTO RIO ENGANO,0.704,150,0.62,0.213,0.127,0.027,0.168,0.788
81450,IMBUIA,SC,CENTRO,0.434,2088,0.269,0.652,0.049,0.02,0.079,0.348
81450,IMBUIA,SC,GARRAFAO,0.238,363,0.234,0.705,0.047,0.006,0.062,0.296
81450,IMBUIA,SC,CAMPO DAS FLORES,0.232,347,0.133,0.801,0.052,0.003,0.067,0.2
81450,IMBUIA,SC,NOVA ALEMANHA,0.223,536,0.211,0.735,0.039,0.009,0.054,0.265
81450,IMBUIA,SC,SAMAMBAIA,0.212,398,0.214,0.731,0.03,0.018,0.056,0.27
81450,IMBUIA,SC,VISTA ALEGRE,0.169,296,0.206,0.743,0.037,0.003,0.05,0.256
