TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
70130,SANTA ADÉLIA,SP,CENTRO,0.551,4212,0.339,0.579,0.054,0.018,0.082,0.421
70130,SANTA ADÉLIA,SP,COHAB ELZA GALVAO BRANCO,0.527,1789,0.437,0.499,0.037,0.021,0.065,0.502
70130,SANTA ADÉLIA,SP,VILA NOSSA SRA APARECIDA,0.518,1205,0.387,0.527,0.052,0.022,0.085,0.472
70130,SANTA ADÉLIA,SP,JARDIM DARCISINHO,0.413,293,0.334,0.567,0.051,0.038,0.099,0.433
70130,SANTA ADÉLIA,SP,VILA BOTELHO,0.285,647,0.331,0.62,0.032,0.011,0.05,0.381
70130,SANTA ADÉLIA,SP,VILA URURAI,0.138,130,0.315,0.646,0.031,0.008,0.039,0.354
