TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
63177,CASA BRANCA,SP,CENTRO,0.546,10569,0.295,0.621,0.051,0.022,0.083,0.378
63177,CASA BRANCA,SP,CIDADE JARDIM I,0.521,1538,0.37,0.545,0.056,0.019,0.086,0.456
63177,CASA BRANCA,SP,PARQUE SAO PAULO,0.456,1019,0.367,0.557,0.048,0.021,0.076,0.443
63177,CASA BRANCA,SP,DISTRITO DE VENDA BRANCA,0.385,629,0.288,0.626,0.07,0.006,0.086,0.374
63177,CASA BRANCA,SP,DISTRITO DE LAGOA BRANCA,0.377,655,0.363,0.573,0.046,0.015,0.064,0.427
