TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
15679,TAUÁ,CE,TRICI,0.931,2465,0.749,0.141,0.011,0.094,0.11,0.859
15679,TAUÁ,CE,CARRAPATEIRAS,0.924,2715,0.726,0.162,0.011,0.092,0.112,0.838
15679,TAUÁ,CE,MARRECAS,0.909,2883,0.737,0.165,0.006,0.083,0.097,0.834
15679,TAUÁ,CE,MARROAS,0.872,2353,0.738,0.172,0.006,0.079,0.089,0.827
15679,TAUÁ,CE,SANTA TEREZA,0.863,1689,0.733,0.17,0.009,0.082,0.097,0.83
15679,TAUÁ,CE,BARRA NOVA,0.836,1320,0.716,0.186,0.014,0.075,0.099,0.815
15679,TAUÁ,CE,BEZERRA E SOUZA,0.819,2992,0.63,0.279,0.006,0.079,0.091,0.721
15679,TAUÁ,CE,CENTRO,0.815,3361,0.537,0.342,0.012,0.105,0.121,0.658
15679,TAUÁ,CE,CIDADE NOVA/SEDE,0.807,1583,0.602,0.275,0.005,0.11,0.123,0.725
15679,TAUÁ,CE,TAUAZINHO,0.801,2742,0.581,0.318,0.008,0.089,0.101,0.682
15679,TAUÁ,CE,ALTO DO CRUZEIRO,0.786,2828,0.569,0.335,0.006,0.088,0.097,0.666
15679,TAUÁ,CE,SEDE,0.783,1242,0.618,0.274,0.006,0.096,0.11,0.728
15679,TAUÁ,CE,INHAMUNS,0.773,2102,0.698,0.23,0.003,0.064,0.071,0.769
15679,TAUÁ,CE,COLIBRIS,0.761,2667,0.533,0.365,0.01,0.088,0.101,0.634
15679,TAUÁ,CE,COLIBRIS/SEDE,0.722,615,0.613,0.285,0.015,0.083,0.103,0.716
15679,TAUÁ,CE,ALDEOTA,0.694,466,0.539,0.324,0.015,0.12,0.137,0.676
15679,TAUÁ,CE,BARRO BRANCO - SEDE,0.683,203,0.685,0.222,0.0,0.094,0.094,0.779
15679,TAUÁ,CE,DISTRITO - SEDE,0.674,110,0.8,0.127,0.027,0.045,0.072,0.872
15679,TAUÁ,CE,ALTO BRILHANTE,0.66,494,0.593,0.318,0.012,0.067,0.089,0.682
