TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
52418,SÃO GOTARDO,MG,ALTO DA BELA VISTA,0.511,2374,0.405,0.529,0.03,0.019,0.064,0.469
52418,SÃO GOTARDO,MG,GUARDA DOS FERREIROS,0.491,2676,0.491,0.474,0.012,0.016,0.035,0.526
52418,SÃO GOTARDO,MG,BOA ESPERANÇA,0.484,1268,0.549,0.418,0.016,0.013,0.034,0.583
52418,SÃO GOTARDO,MG,TAQUARIL,0.467,1697,0.433,0.514,0.024,0.016,0.053,0.486
52418,SÃO GOTARDO,MG,NOSSA SENHORA DE FÁTIMA,0.456,5025,0.319,0.622,0.028,0.021,0.059,0.378
52418,SÃO GOTARDO,MG,CENTRO,0.437,2449,0.307,0.624,0.038,0.022,0.069,0.376
52418,SÃO GOTARDO,MG,SÃO GERALDO,0.413,629,0.475,0.479,0.024,0.014,0.046,0.521
52418,SÃO GOTARDO,MG,SOL NASCENTE,0.393,1916,0.306,0.632,0.032,0.02,0.063,0.369
52418,SÃO GOTARDO,MG,SÃO VICENTE,0.339,1419,0.302,0.643,0.031,0.016,0.056,0.358
52418,SÃO GOTARDO,MG,ZONA RURAL,0.323,614,0.396,0.56,0.021,0.008,0.044,0.44
