TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
89257,TAPES,RS,CENTRO,0.705,6841,0.484,0.439,0.034,0.037,0.077,0.561
89257,TAPES,RS,ARROIO TEIXEIRA,0.625,476,0.63,0.298,0.034,0.029,0.071,0.701
89257,TAPES,RS,BALNEARIO REBELLO,0.606,1076,0.474,0.441,0.046,0.032,0.087,0.561
89257,TAPES,RS,ZONA RURAL,0.51,216,0.407,0.472,0.051,0.037,0.121,0.528
89257,TAPES,RS,SANTO ANTONIO,0.282,212,0.325,0.608,0.024,0.038,0.067,0.392
