TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
98736,NOVA OLÍMPIA,MT,JARDIM OURO VERDE,0.618,3309,0.551,0.4,0.025,0.017,0.05,0.601
98736,NOVA OLÍMPIA,MT,BOA ESPERANÇA,0.549,1633,0.555,0.4,0.026,0.013,0.046,0.601
98736,NOVA OLÍMPIA,MT,JARDIM DAS OLIVEIRAS,0.49,1176,0.522,0.434,0.023,0.015,0.044,0.566
98736,NOVA OLÍMPIA,MT,SÃO JOÃO,0.465,1050,0.478,0.472,0.029,0.012,0.05,0.528
98736,NOVA OLÍMPIA,MT,CENTRO,0.453,1645,0.434,0.516,0.021,0.019,0.05,0.484
98736,NOVA OLÍMPIA,MT,ASSENTAMENTO RIO BRANCO,0.443,217,0.558,0.392,0.028,0.014,0.051,0.609
