TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
58408,ARMAÇÃO DOS BÚZIOS,RJ,MANGUINHOS,0.495,6075,0.314,0.616,0.033,0.028,0.068,0.382
58408,ARMAÇÃO DOS BÚZIOS,RJ,GERIBA,0.476,1046,0.337,0.572,0.041,0.034,0.091,0.428
58408,ARMAÇÃO DOS BÚZIOS,RJ,RASA,0.474,6010,0.339,0.603,0.025,0.026,0.057,0.396
58408,ARMAÇÃO DOS BÚZIOS,RJ,CENTRO,0.471,3453,0.298,0.629,0.031,0.037,0.073,0.371
58408,ARMAÇÃO DOS BÚZIOS,RJ,SAO JOSE,0.434,2815,0.326,0.613,0.03,0.022,0.061,0.387
58408,ARMAÇÃO DOS BÚZIOS,RJ,CEM BRACAS,0.411,2394,0.322,0.617,0.029,0.026,0.06,0.382
58408,ARMAÇÃO DOS BÚZIOS,RJ,FERRADURA,0.391,1897,0.294,0.644,0.024,0.031,0.065,0.359
58408,ARMAÇÃO DOS BÚZIOS,RJ,VILA VERDE,0.355,767,0.313,0.618,0.027,0.03,0.068,0.381
