TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
57118,RIO BANANAL,ES,CÓR. SANTA RITA,0.572,618,0.523,0.405,0.055,0.015,0.074,0.597
57118,RIO BANANAL,ES,CÓR. SÃO FRANCISCO,0.556,1192,0.488,0.446,0.038,0.023,0.067,0.555
57118,RIO BANANAL,ES,SANTO ANTÔNIO,0.527,2123,0.433,0.504,0.037,0.021,0.063,0.496
57118,RIO BANANAL,ES,CENTRO,0.517,2420,0.409,0.527,0.032,0.024,0.064,0.473
57118,RIO BANANAL,ES,CÓR. PANORAMA 10,0.508,674,0.481,0.453,0.039,0.012,0.066,0.547
57118,RIO BANANAL,ES,SÃO SEBASTIÃO,0.506,1296,0.452,0.486,0.032,0.021,0.062,0.514
57118,RIO BANANAL,ES,D. SÃO JORGE DE TIRADENTES,0.465,1726,0.425,0.522,0.032,0.017,0.054,0.479
57118,RIO BANANAL,ES,CÓR. PRIMAVERA,0.46,803,0.513,0.441,0.026,0.017,0.045,0.558
57118,RIO BANANAL,ES,CÓR. LAGRIMAL,0.441,385,0.509,0.439,0.031,0.018,0.052,0.561
