TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
13145,ACARAPE,CE,CANTAGALO,0.692,1567,0.676,0.264,0.008,0.042,0.06,0.736
13145,ACARAPE,CE,RIACHÃO DO NORTE,0.685,469,0.787,0.156,0.004,0.047,0.057,0.844
13145,ACARAPE,CE,CENTRO,0.681,4542,0.566,0.376,0.013,0.039,0.058,0.624
13145,ACARAPE,CE,SÃO BENEDITO,0.593,1367,0.658,0.301,0.006,0.023,0.041,0.699
13145,ACARAPE,CE,MORENOS,0.589,269,0.758,0.193,0.011,0.033,0.048,0.806
13145,ACARAPE,CE,GARAPA II,0.511,185,0.686,0.265,0.027,0.016,0.048,0.734
13145,ACARAPE,CE,PAU BRANCO II,0.498,322,0.606,0.345,0.016,0.028,0.05,0.656
13145,ACARAPE,CE,POÇO ESCURO I,0.487,248,0.702,0.266,0.008,0.016,0.032,0.734
13145,ACARAPE,CE,TAMANDUÁ,0.482,195,0.621,0.328,0.015,0.031,0.051,0.672
13145,ACARAPE,CE,AMARGOSO,0.464,200,0.6,0.35,0.005,0.04,0.05,0.65
13145,ACARAPE,CE,LAGOA DOS VEADOS,0.456,161,0.609,0.342,0.006,0.006,0.049,0.658
13145,ACARAPE,CE,GARAPA I,0.434,119,0.471,0.454,0.05,0.017,0.075,0.546
