TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
85545,ALEGRIA,RS,CENTRO,0.569,1559,0.482,0.451,0.043,0.02,0.067,0.549
85545,ALEGRIA,RS,RESTINGA SECA,0.54,188,0.665,0.277,0.037,0.016,0.058,0.723
85545,ALEGRIA,RS,ESQUINA LEWISKI,0.512,329,0.529,0.404,0.049,0.015,0.067,0.596
85545,ALEGRIA,RS,ESQUINA QUEIMADA,0.411,76,0.566,0.382,0.026,0.026,0.052,0.618
85545,ALEGRIA,RS,VILA ESPÍRITO SANTO,0.403,460,0.383,0.546,0.052,0.017,0.071,0.454
85545,ALEGRIA,RS,POVCÃO DOS NARDES,0.045,57,0.123,0.842,0.035,0.0,0.035,0.158
