TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
80594,CAIBI,SC,LINHA SÃO PAULO,0.464,106,0.425,0.472,0.094,0.009,0.103,0.528
80594,CAIBI,SC,LINHA APARECIDA,0.349,83,0.41,0.518,0.048,0.012,0.072,0.482
80594,CAIBI,SC,CENTRO,0.336,1927,0.244,0.698,0.034,0.013,0.058,0.302
80594,CAIBI,SC,LINHA MARACUJÁ,0.311,147,0.293,0.619,0.068,0.014,0.089,0.382
80594,CAIBI,SC,BAIRRO NATAL,0.297,801,0.333,0.617,0.032,0.011,0.049,0.382
80594,CAIBI,SC,LINHA PLANALTINA,0.287,266,0.327,0.609,0.049,0.011,0.064,0.391
80594,CAIBI,SC,LINHA SÃO JORGE,0.281,87,0.448,0.506,0.046,0.0,0.046,0.494
80594,CAIBI,SC,LINHA SÃO ROQUE,0.252,137,0.358,0.584,0.036,0.007,0.058,0.416
80594,CAIBI,SC,LINHA SANTO ANTÔNIO,0.231,121,0.339,0.603,0.025,0.008,0.058,0.397
80594,CAIBI,SC,LINHA ROSÁRIO,0.078,181,0.227,0.746,0.028,0.0,0.028,0.255
80594,CAIBI,SC,LINHA SÃO JOSÉ,0.063,156,0.135,0.833,0.026,0.0,0.032,0.167
