TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
38237,RETIROLÂNDIA,BA,CENTRO,0.773,5060,0.744,0.208,0.018,0.025,0.048,0.792
38237,RETIROLÂNDIA,BA,POVOADO LAGOA GRANDE,0.753,378,0.772,0.146,0.021,0.053,0.082,0.854
38237,RETIROLÂNDIA,BA,POVOADO LAGINHA,0.751,506,0.743,0.174,0.026,0.043,0.083,0.826
38237,RETIROLÂNDIA,BA,POVOADO CONTADOR,0.724,171,0.795,0.123,0.029,0.047,0.082,0.877
38237,RETIROLÂNDIA,BA,POVOADO UBERLÂNDIA,0.712,226,0.832,0.102,0.009,0.053,0.066,0.898
38237,RETIROLÂNDIA,BA,CONJUNTO HABITACIONAL ANTÔNIO CARLOS MAGALHÃES,0.704,759,0.808,0.141,0.018,0.025,0.051,0.859
38237,RETIROLÂNDIA,BA,POVOADO JIBÓIA,0.669,617,0.763,0.183,0.013,0.036,0.054,0.817
38237,RETIROLÂNDIA,BA,POVOADO MANDÁPOLIS,0.659,419,0.881,0.086,0.014,0.014,0.033,0.914
38237,RETIROLÂNDIA,BA,POVOADO ALECRIM,0.654,299,0.819,0.13,0.017,0.033,0.05,0.869
38237,RETIROLÂNDIA,BA,POVOADO JITAÍ,0.64,324,0.883,0.086,0.012,0.019,0.031,0.914
38237,RETIROLÂNDIA,BA,POVOADO VARGEM,0.636,437,0.863,0.11,0.005,0.018,0.028,0.891
38237,RETIROLÂNDIA,BA,POVOADO GAMELEIRA,0.631,361,0.889,0.089,0.008,0.006,0.022,0.911
38237,RETIROLÂNDIA,BA,POVOADO VISTA BELA,0.532,156,0.814,0.16,0.0,0.013,0.026,0.84
