TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
43591,CONGONHAS,MG,CENTRO,0.797,4434,0.514,0.378,0.064,0.031,0.109,0.623
43591,CONGONHAS,MG,DOM OSCAR,0.785,3866,0.507,0.384,0.061,0.035,0.11,0.617
43591,CONGONHAS,MG,PRAIA,0.773,4764,0.506,0.395,0.059,0.03,0.099,0.605
43591,CONGONHAS,MG,MATRIZ,0.77,3948,0.502,0.395,0.06,0.028,0.104,0.606
43591,CONGONHAS,MG,LAMARTINE,0.741,1485,0.553,0.341,0.07,0.018,0.105,0.658
43591,CONGONHAS,MG,VILA SAO VICENTE,0.723,1377,0.511,0.37,0.073,0.033,0.119,0.63
43591,CONGONHAS,MG,LOBO LEITE,0.69,444,0.561,0.32,0.07,0.02,0.119,0.68
43591,CONGONHAS,MG,BASILICA,0.677,958,0.562,0.35,0.049,0.032,0.088,0.65
43591,CONGONHAS,MG,ALTO MARANHÃO,0.675,1080,0.463,0.409,0.073,0.041,0.128,0.591
43591,CONGONHAS,MG,JARDIM PROFETA,0.655,2217,0.436,0.463,0.051,0.026,0.1,0.536
43591,CONGONHAS,MG,SANTA QUITERIA,0.654,345,0.672,0.252,0.038,0.029,0.076,0.748
43591,CONGONHAS,MG,JOAQUIM MURTINHO,0.653,1410,0.436,0.446,0.065,0.036,0.117,0.553
43591,CONGONHAS,MG,VILA ANDREZA,0.651,1843,0.452,0.451,0.05,0.033,0.097,0.549
43591,CONGONHAS,MG,ALVORADA,0.643,1242,0.555,0.373,0.048,0.009,0.074,0.629
43591,CONGONHAS,MG,PIRES,0.629,1680,0.471,0.443,0.046,0.03,0.085,0.556
43591,CONGONHAS,MG,ESMERIL,0.626,59,0.695,0.22,0.0,0.051,0.085,0.78
43591,CONGONHAS,MG,BOA VISTA,0.614,620,0.44,0.435,0.065,0.044,0.125,0.565
43591,CONGONHAS,MG,VILA JOSE MARQUES,0.608,430,0.533,0.377,0.053,0.021,0.09,0.623
43591,CONGONHAS,MG,CAMPINHO,0.565,446,0.578,0.354,0.027,0.031,0.066,0.644
43591,CONGONHAS,MG,PEQUIRI,0.564,291,0.402,0.43,0.11,0.045,0.168,0.57
