TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
80276,ARARANGUÁ,SC,CENTRO,0.582,5941,0.292,0.605,0.051,0.032,0.104,0.396
80276,ARARANGUÁ,SC,NÃO ESPECIFICADO,0.579,36,0.778,0.167,0.0,0.028,0.056,0.834
80276,ARARANGUÁ,SC,CIDADE ALTA,0.504,5948,0.27,0.65,0.036,0.028,0.08,0.35
80276,ARARANGUÁ,SC,COLONINHA,0.5,4239,0.333,0.597,0.04,0.019,0.069,0.402
80276,ARARANGUÁ,SC,JARDIM DAS AVENIDAS,0.496,2097,0.328,0.587,0.041,0.029,0.084,0.412
80276,ARARANGUÁ,SC,URUSSANGUINHA,0.492,3786,0.302,0.622,0.04,0.026,0.076,0.378
80276,ARARANGUÁ,SC,NOVA DIVINÉIA,0.458,1797,0.303,0.615,0.04,0.026,0.083,0.386
80276,ARARANGUÁ,SC,MATO ALTO,0.403,2495,0.272,0.662,0.034,0.02,0.066,0.338
80276,ARARANGUÁ,SC,VILA SÃO JOSÉ,0.4,1135,0.301,0.624,0.04,0.023,0.076,0.377
80276,ARARANGUÁ,SC,ALTO FELIZ,0.392,1240,0.253,0.665,0.044,0.026,0.082,0.335
80276,ARARANGUÁ,SC,JARDIM CIBELE,0.368,1263,0.331,0.61,0.024,0.027,0.059,0.39
80276,ARARANGUÁ,SC,SANGA DA AREIA,0.364,1435,0.278,0.656,0.036,0.023,0.066,0.344
80276,ARARANGUÁ,SC,HERCÍLIO LUZ,0.36,401,0.292,0.621,0.047,0.025,0.086,0.378
80276,ARARANGUÁ,SC,BARRANCA,0.356,800,0.364,0.58,0.026,0.018,0.056,0.42
80276,ARARANGUÁ,SC,MORRO DOS CONVENTOS,0.349,1176,0.265,0.668,0.038,0.014,0.068,0.333
80276,ARARANGUÁ,SC,POLÍCIA RODOVIÁRIA,0.321,2005,0.312,0.643,0.019,0.019,0.043,0.355
80276,ARARANGUÁ,SC,SANGA DO MARCO,0.308,147,0.367,0.565,0.034,0.007,0.068,0.435
80276,ARARANGUÁ,SC,VOLTA CURTA,0.304,300,0.337,0.6,0.047,0.017,0.064,0.401
80276,ARARANGUÁ,SC,RIO DOS ANJOS,0.291,215,0.228,0.684,0.051,0.019,0.089,0.317
80276,ARARANGUÁ,SC,ILHAS,0.287,264,0.375,0.572,0.03,0.019,0.053,0.428
80276,ARARANGUÁ,SC,ESPIGÃO DA PEDRA,0.284,137,0.234,0.672,0.058,0.029,0.094,0.328
80276,ARARANGUÁ,SC,SANGA DA TOCA,0.277,1074,0.258,0.691,0.013,0.031,0.052,0.31
80276,ARARANGUÁ,SC,CAMPO VERDE,0.272,296,0.389,0.568,0.007,0.034,0.044,0.433
80276,ARARANGUÁ,SC,BARRO VERMELHO,0.27,184,0.277,0.647,0.049,0.022,0.076,0.353
80276,ARARANGUÁ,SC,OPERÁRIA,0.265,917,0.213,0.731,0.028,0.019,0.056,0.269
80276,ARARANGUÁ,SC,FUNDO DO CEDRO,0.259,243,0.239,0.687,0.041,0.021,0.074,0.313
80276,ARARANGUÁ,SC,LAGOA DA SERRA,0.252,288,0.212,0.715,0.031,0.028,0.072,0.284
80276,ARARANGUÁ,SC,ITOPABA,0.209,233,0.112,0.82,0.03,0.021,0.068,0.18
80276,ARARANGUÁ,SC,LAGOA DO CAVERÁ,0.198,260,0.165,0.773,0.031,0.023,0.062,0.227
80276,ARARANGUÁ,SC,MANHOSO,0.173,184,0.207,0.734,0.027,0.016,0.059,0.266
