TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
25151,PEDRA,PE,CENTRO,0.786,6004,0.769,0.186,0.009,0.025,0.044,0.813
25151,PEDRA,PE,2º DISTRITO - SÃO PEDRO,0.754,1256,0.897,0.065,0.006,0.025,0.038,0.935
25151,PEDRA,PE,ZONA RURAL,0.748,2957,0.843,0.132,0.002,0.013,0.025,0.868
25151,PEDRA,PE,3º DISTRITO - SANTO ANTONIO,0.74,1605,0.854,0.11,0.004,0.02,0.037,0.891
25151,PEDRA,PE,BOA VISTA,0.672,762,0.864,0.109,0.007,0.013,0.028,0.892
25151,PEDRA,PE,PRATEADO,0.648,1202,0.802,0.171,0.008,0.011,0.026,0.828
